# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Hey, koca köpek.
line:8107858d	I'll go get the gate for you.	Gidip size kapıyı açayım.
line:d1755010	I'll go get the gate for you.	Gidip sana kapıyı açayım.
line:4d692a01	I'll go get the gate.	Gidip kapıyı açayım.
line:a75bb519	I'll go get the gate.	Gidip kapıyı açayım.
line:8689a124	I'll happily get that for you.	Memnuniyetle getiririm.
line:48e99d7b	I'll have to close up shop first-	Önce dükkânı kapatmam lazım...
line:f2b894e2	I'll have to reserve your spot while you close up.	Sen kapatırken yerini ayırtmam lazım.
line:6c5e2459	I'll keep that in mind. I'm used to things being transactional.	Bunu aklımda tutacağım. Her şeyin bir alışveriş olmasına alışmışım.
line:956a0f47	I'll make sure to ask him next time I see him.	Bir dahaki görüşümde mutlaka sorarım.
line:e64d21e4	I'll make sure to come back.	Mutlaka tekrar geleceğim.
line:7c9fe106	I'll make sure to get out of your scales.	Seni daha fazla oyalamayayım.
line:87006442	I'll make sure to tell others about this place	Burayı başkalarına da anlatacağım.
line:1db78e06	I'll make sure to tell you how it goes, yeah?	Nasıl gittiğini mutlaka anlatırım, tamam mı?
line:49b6a167	I'll make sure you're <i>spotless.	Seni <i>tertemiz yapacağım.
line:96981b61	I'll manage.	Bir şekilde atlatırım.
line:9aa97614	I'll need this to be swift, students won't teach themselves.	Çabuk olması gerekiyor. Öğrenciler kendi kendilerine ders anlatamaz.
line:9ef857c8	I'll need to resurrect Igwix, oh how embarrassing!	Igwix'i diriltmem gerekecek. Ne utanç verici!
line:90a9a98e	I'll see you next time I come in, yeah?	Bir dahaki gelişimde görüşürüz, olur mu?
line:d0f6a49a	I'll see you next time I come in, yeah?	Bir dahaki gelişimde görüşürüz, olur mu?
line:160bf40f	I'll start prepping for it.	Hazırlıklara başlayacağım.
line:8af64cb8	I'll take care of this, don't you worry.	Ben hallederim, sen merak etme.
line:e20c6391	I'll tell you in a bit. Could you just get the gate for now?	Birazdan anlatırım. Şimdilik kapıyı açar mısın?
line:04c62f9b	I'm <i>spotless</i>.	<i>Tertemizim</i>.
line:629f8cff	I'm a bit of a big deal around there.	Orada biraz tanınırım.
line:d9272031	I'm a dragon.	Ben ejderhayım.
line:675e7284	I'm a rule breaker!	Ben kuralları çiğnerim!
line:afcd5586	I'm a... kobold.	Ben... koboldum.
line:5d41b5d6	I'm all dirty still!	Hâlâ her yerim kirli!
line:2f6eb3c3	I'm all soapy still!	Hâlâ her yerim sabunlu!
line:18707b19	I'm always happy to give you a wash!	Seni yıkamak beni her zaman mutlu eder!
line:3b01eb3b	I'm always happy to give you a wash!	Seni yıkamak beni her zaman mutlu eder!
line:d82b1a7d	I'm always happy to help. <i><size=70%> especially a big dragon.	Yardım etmekten her zaman mutluluk duyarım. <i><size=70%>Hele koca bir ejderhaya.
line:46c6a3ed	I'm always happy to see you Ryan.	Seni görmek her zaman güzel, Ryan.
line:75206eee	I'm always happy to see you Ryan.	Seni görmek her zaman güzel, Ryan.
line:fa6e232e	I'm always happy to see you. I'll go get the gate for you.	Sizi görmekten her zaman mutluyum. Size kapıyı açayım.
line:07e5fc05	I'm amazed!	Çok etkilendim!
line:4586d55d	I'm an asshole. I know I am.	Ben götün tekiyim. Biliyorum.
line:a6d46685	I'm certain he also finds you pleasant!	Onun da sizi hoş bulduğuna eminim!
line:ef399e26	I'm doing good!	İyiyim!
line:a6c1f2f4	I'm excited for you!	Senin adına heyecanlandım!
line:94fbdbf0	I'm excited for you. I'll get the gate!	Senin adına heyecanlıyım. Kapıyı açayım!
line:f83e4966	I'm excited to hear about it!	Dinlemek için sabırsızlanıyorum!
line:bd55b8f4	I'm excited to see them washing down the drain though.	Ama giderden akıp gittiklerini görmek için de sabırsızlanıyorum.
line:24832f01	I'm excited.	Heyecanlıyım.
line:69f406a6	I'm excited.	Heyecanlıyım.
line:a00f681d	I'm excited.	Heyecanlıyım.
line:a0479425	I'm excited.	Heyecanlıyım.
line:b5d7d26f	I'm excited.	Heyecanlıyım.
line:d66b9155	I'm excited.	Heyecanlıyım.
line:4e1b1d0a	I'm glad you derive enjoyment from this as well.	Sizin de bundan keyif almanıza sevindim.
line:5db47405	I'm glad you enjoy him. I'm certain he finds you pleasant.	Onunla mutlu olmanıza sevindim. Eminim o da sizi hoş buluyordur.
line:c56ee060	I'm glad you enjoy my crest.	Armamı beğenmenize sevindim.
line:f44a1493	I'm glad you trust me.	Bana güvenmenize sevindim.
line:3a2ed5ef	I'm glad you two are working out though.	Yine de aranızın iyi gitmesine sevindim.
line:c0972e81	I'm glad you two are working out.	Aranızın iyi gitmesine sevindim.
line:34ba77b1	I'm glad you were able to make the choice that was best for you.	Kendin için en iyi kararı verebildiğine sevindim.
line:d5a90e1c	I'm glad!	Sevindim!
line:286fec49	I'm glad.	Sevindim.
line:42f5fd9d	I'm glad.	Sevindim.
line:99b6dc81	I'm glad.	Sevindim.
line:570d4953	I'm happy for you!	Senin adına sevindim!
line:ac6d5bd3	I'm happy for you!	Senin adına sevindim!
line:ed5c40ca	I'm happy for you!	Senin adına sevindim!
line:79099951	I'm happy to be here too.	Ben de burada olmaktan mutluyum.
line:99fd9b51	I'm happy to give you a place you can relax.	Size rahatlayabileceğiniz bir yer sunabildiğime sevindim.
line:5d36d5c8	I'm happy to have met you.	Sizinle tanıştığıma memnunum.
line:ce21622a	I'm happy to hear that.	Bunu duyduğuma sevindim.
line:69963a6c	I'm happy you feel comfy here.	Burada rahat olmanıza sevindim.
line:38388248	I'm here for a wash.	Yıkanmaya geldim.
line:a6974256	I'm here if you need someone to talk to.	Konuşacak birine ihtiyacın olursa buradayım.
line:6690512d	I'm impressed.	Etkilendim.
line:2e424b13	I'm in need of another wash.	Yeniden yıkanmam gerekiyor.
line:ef91a572	I'm Jealous!	Kıskandım!
line:a79b8639	I'm just happy I don't feel judged here.	Burada yargılanmadığımı hissetmek bile beni mutlu ediyor.
line:8076eb95	I'm just here for a wash though.	Ama sadece yıkanmaya geldim.
line:c2caa0b7	I'm just here to bring you food!	Sadece sana yemek getirmeye geldim!
line:ec6c7823	I'm just... Happy.	Sadece... mutluyum.
line:ed4b0d48	I'm kind of excited.	Biraz heyecanlıyım.
line:266c652e	I'm looking forward to seeing you again	Seni yeniden görmeyi iple çekiyorum.
line:e91e2041	I'm not <i>that</i> little-	<i>O kadar</i> da ufak değilim...
line:cf05a364	I'm not certain why I suddenly understand your 'Yips'	Neden birden «yip»lerinizi anlamaya başladığımı bilmiyorum.
line:dcc4774b	I'm not too sure. It was on sale at WingCo.	Pek emin değilim. WingCo'da indirimdeydi.
line:5b31909a	I'm only doing what I think is right.	Sadece doğru olduğuna inandığım şeyi yapıyorum.
line:7fe349d7	I'm profoundly embarrassed by this whole ordeal.	Bu yaşananlardan ötürü son derece mahcubum.
line:cfaffc52	I'm pumped.	İçim içime sığmıyor.
line:c0a140f8	I'm really fond of letting folks ride on my back.	İnsanları sırtımda taşımayı çok severim.
line:1a5e6184	I'm really looking forward to this.	Gerçekten sabırsızlanıyorum.
line:8b43a434	I'm really sorry you got hurt. Who did this?	Yaralanmana gerçekten üzüldüm. Bunu kim yaptı?
line:69ffe957	I'm so excited about this date!	Bu randevu için çok heyecanlıyım!
line:e6290003	I'm so excited. I'll get you two in contact!	Çok heyecanlandım. Sizi tanıştırayım!
line:e8611ad0	I'm sorry for dumping that all on you earlier.	Az önce bütün dertlerimi sana döktüğüm için özür dilerim.
line:e613b1c3	I'm sorry I snapped at you earlier.	Az önce sana çıkıştığım için özür dilerim.
line:de208e68	I'm sorry you got hurt...	Yaralanmana üzüldüm...
line:4843bb47	I'm still very muddy, if you could soap me up that'd be great.	Hâlâ çok çamurluyum. Beni sabunlarsan harika olur.
line:51d4e418	I'm such an idiot.	Tam bir aptalım.
line:32114891	I'm sure nobody will know...	Kimsenin öğrenmeyeceğine eminim...
line:17a05c96	I'm sure we'll figure something out! just meet me at the pier!	Bir şeyler buluruz! İskelede buluşalım yeter!
line:8136ef1a	I'm surprised how nice it is.	Bu kadar güzel olmasına şaşırdım.
line:722c6ab2	I'm thinking a date soon.	Yakında bir randevu olur diye düşünüyorum.
line:3471e9b1	I'm trying my best.	Elimden geleni yapıyorum.
line:01492e5e	I'm trying not to be pushy.	Baskıcı olmamaya çalışıyorum.
line:4d6cd625	I'm trying to get away from the house for a bit.	Evden biraz uzaklaşmaya çalışıyorum.
line:c1ef777a	I'm unsure why speaking with you is so easy.	Sizinle konuşmanın neden bu kadar kolay olduğunu bilmiyorum.
line:822c0718	I'm very excited.	Çok heyecanlıyım.
line:ddab3d34	I'm very satisfied with these results..	Sonuçtan çok memnunum...
line:03eb977c	I'm well aware. A deep clean has a distinct feel!	Bunun farkındayım. Derinlemesine temizliğin hissi başkadır!
line:f9193c0d	I'm willing to do it. But I'd like something new.	Uğraşmaya hazırım. Ama yeni bir şey istiyorum.
line:63981253	I'm... Happy.	Ben... mutluyum.
line:f80bd44b	I'm... not certain I'd like to use this today.	Bugün bunu... kullanmak istediğimden emin değilim.
line:d422462e	I'm... not sure I can answer that for you.	Senin adına... cevap verebileceğimden emin değilim.
line:8f107933	I'm... Rather close now	Ben... Şimdi oldukça yakınım.
line:24c52c54	I'm... wondering...	Ben... merak ediyordum...
line:6bbd7f1d	I've always hated the rain.	Yağmurdan hep nefret etmişimdir.
line:b4353808	I've always loved giving my biped friends rides...	İki ayaklı arkadaşlarımı sırtımda gezdirmeyi hep sevmişimdir...
line:9541fceb	I've been considering asking you this for a while now.	Bir süredir size bunu sormayı düşünüyordum.
line:505154a4	I've been thinking...	Düşünüyordum da...
line:58b4f5fb	I've been told it's polite to talk to smaller folk face to face.	Benden küçük kişilerle yüz yüze konuşmanın nazikçe olduğunu söylediler.
line:2c560e29	I've been trying to get into the social sciences aswell.	Sosyal bilimlere de girmeye çalışıyorum.
line:b4a29141	I've got a guy who can drop a gift by tomorrow that would spruce things up.	Bir tanıdığım var, yarın burayı canlandıracak bir hediye bırakabilir.
line:212f0021	I've had a lot of free time lately.	Son zamanlarda çok boş vaktim oldu.
line:701b9feb	I've had a lot of free time lately.	Son zamanlarda çok boş vaktim oldu.
line:79da763f	I've had a lot of free time lately.	Son zamanlarda çok boş vaktim oldu.
line:3c4443fd	I've seen bigger	Daha büyüğünü gördüm.
line:d7a90078	I...	Ben...
line:393d0e05	I... hm.	Ben... Hım.
line:0da5609b	I... Know this is unprompted.	Bunu... durup dururken söylediğimin farkındayım.
line:5cfb94b9	If a relationship is <i>so</i> bumpy and you know its going to end.	Bir ilişki <i>bu kadar</i> sorunluysa ve biteceğini biliyorsan...
line:b2f52b23	If I could uhm...	Acaba, şey...
line:b4990e3d	If I'm honest. I've had a crush on you for a bit.	Açıkçası bir süredir senden hoşlanıyorum.
line:7c13c28e	If only.	Keşke.
line:a56c5621	If someone like Ryan is interested, you're doing great.	Ryan gibi biri seninle ilgileniyorsa harika gidiyorsun.
line:52f28749	If we're caught violating another policy my reputation would be in ruins!	Bir kuralı daha çiğnediğimiz ortaya çıkarsa itibarım yerle bir olur!
line:83f511d2	If ya' place the mount for me I'll have at it.	Sehpayı yerleştirirsen hemen girişirim.
line:7ead92b1	If you could come up front so I could talk.	Konuşabileyim diye önüme gelir misin?
line:e78656aa	If you could come up to where I can see you.	Seni görebileceğim bir yere gelir misin?
line:9a013329	If you wanna talk about it more, I've got a minute.	Biraz daha konuşmak istersen vaktim var.
line:3d014153	If you want to use it that's fine!	Kullanmak istiyorsanız sorun yok!
line:a9eb9a76	if you're seeing this please grab nael or submit a bug report	Bunu görüyorsan lütfen nael'a ulaş veya bir hata bildirimi gönder.
line:b9ab4eed	Im not complaining though.	Ama şikâyetçi değilim.
line:27340362	In a bad way?	Kötü anlamda mı?
line:2019bb85	In a good way?	İyi anlamda mı?
line:91d5fb72	Incredible!	İnanılmaz!
line:61c8781b	Indeed! You're the only kobold I wish to wash me now.	Kesinlikle! Artık beni yıkamasını istediğim tek kobold sizsiniz.
line:a5979ac9	Indeed, you must know of my crest! I teach alchemy.	Evet, armamı tanımış olmalısınız! Simya dersleri veriyorum.
line:dd9d30d2	Indeed. I'm glad you were able to help.	Kesinlikle. Yardım edebilmenize sevindim.
line:fd5ddfcb	Indeed. You're an excellent person to be around.	Kesinlikle. Sizinle vakit geçirmek çok güzel.
line:78c9b5cc	Is everything okay?	Her şey yolunda mı?
line:bea8f1f7	Is something on your mind?	Aklını kurcalayan bir şey mi var?
line:6b6dd8bc	Is that a good thing...?	Bu iyi bir şey mi...?
line:848727f2	Is that a threat...?	Bu bir tehdit mi...?
line:db302830	Is that why you came in the first time?	İlk gelişinin sebebi bu muydu?
line:00e41343	Is this good?	İyi mi böyle?
line:7982d3d8	Is this the right place?	Doğru yere mi geldim?
line:c48f59a9	Is this the right place?	Doğru yere mi geldim?
line:b05f6eea	Isn't that... Wood?	Onlar... odun değil mi?
line:bf137cb4	It arrived this morning, it should be near the gate.	Bu sabah geldi. Kapının yakınında olmalı.
line:5080b6dd	It depends! Dragon thing.	Duruma göre! Ejderha işi.
line:34cf0601	It did! Thanks for asking.	İyi geçti! Sorduğun için sağ ol.
line:900dca3c	It does wonders.	Harikalar yaratıyor.
line:cfd504c5	It does wonders.	Harikalar yaratıyor.
line:ac13bf68	It is indeed rather cool.	Gerçekten de öyle.
line:ea445b46	It is rather novel isn't it?	Epey yeni bir deneyim, değil mi?
line:56d34a41	It is? Good to know...	Öyle mi? Bunu bilmek iyi oldu...
line:b058318f	It means you're doing a good job in kobold.	Kobold dilinde iyi iş çıkardığın anlamına geliyor.
line:13c906c7	It really has been. You're wonderful.	Gerçekten öyleydi. Harikasın.
line:b032bfb1	It turns out baking is messy!	Meğer insanın üstü başı bayağı kirleniyormuş!
line:da4f12a1	It turns out baking is messy!	Meğer insanın üstü başı bayağı kirleniyormuş!
line:e106207b	It turns out baking is messy!	Meğer insanın üstü başı bayağı kirleniyormuş!
line:e0c8c57b	It was good. We had sex.	İyiydi. Seks yaptık.
line:681117ec	It was great. Conrad is wild. Good wild.	Harikaydı. Conrad çılgın biri. İyi anlamda çılgın.
line:28eee9f5	It went great!	Harika geçti!
line:92bfe06c	It went great!	Harika geçti!
line:a5d2b991	It went well.	İyi geçti.
line:1ab5969b	It would be a... date. As most would say.	Bir... randevu olurdu. Çoğu kişinin dediği gibi.
line:8440a3f4	It's a regrettable state I find myself in...	Kendimi pek iç açıcı olmayan bir hâlde buldum...
line:1706e86d	It's also new to me...	Benim için de yeni...
line:c1b8e62b	It's always good when a kobold knows what they like.	Bir koboldun neyi sevdiğini bilmesi her zaman güzeldir.
line:deffce5c	It's crazy how much your neck can handle.	Boynunun bu kadarını alabilmesi inanılmaz.
line:2e182063	It's difficult to find folks that are outside of my current bubble.	Kendi çevremin dışından birilerini bulmak zor.
line:48cfc92b	It's endearing!	Çok sevimli!
line:5b6f00bd	It's fine.	Sorun yok.
line:13dc0f15	It's fine. I close in about an hour.	Sorun değil. Yaklaşık bir saate kapatıyorum.
line:23ac92c8	It's freeing. I'll be back, yeah?	Özgürleştirici. Yine gelirim, olur mu?
line:de9fdb93	It's hard to hold back..	Dayanmak zor...
line:9ebea3d0	It's hard to not be nervous after everything...	Bütün yaşananlardan sonra gerilmemek zor...
line:ec8243d8	It's interesting; you bipeds tend to savor your meals.	İlginç; siz iki ayaklılar yemeklerinizi ağır ağır tadarsınız.
line:d50cb509	It's just that something happened to Conrad, I hope he's okay.	Sadece Conrad'ın başına bir şey geldi. Umarım iyidir.
line:bee6c7dd	It's just that...	Sadece...
line:3b76093c	It's made for eating things whole.	Her şeyi bütün yutmak için var.
line:19f36dc0	It's my dream.	Benim hayalim.
line:18db795f	It's never easy to end things.	Bir ilişkiyi bitirmek hiç kolay değil.
line:049fb01f	It's nice to have friends to rely on.	Güvenebileceğin arkadaşlarının olması güzel.
line:ed69e3a1	It's nice to relinquish control, even for a moment.	Kontrolü bırakmak hoş. Bir anlığına bile olsa.
line:e9d34ea0	It's no biggie. It sounds like everyone is fine.	Önemli değil. Herkes iyi gibi görünüyor.
line:7e511da7	It's okay!	Sorun değil!
line:b14d8520	It's okay, you sound like you need it.	Sorun değil, konuşmaya ihtiyacın var gibi.
line:50b95260	It's okay. I needed to. She wasn't making me happy.	Sorun değil. Ayrılmam gerekiyordu. Onunla mutlu değildim.
line:47455767	It's okay. I'll figure something out.	Sorun değil. Bir yolunu bulurum.
line:9287c933	It's starting to feel like it's <i>my</i> fault.	Suç <i>bendeymiş</i> gibi gelmeye başladı.
line:7ab244af	It's the best way to enjoy food.	Yemeğin tadını çıkarmanın en güzel yolu.
line:0b7589ff	It's the mount you asked for.	İstediğin sehpa geldi.
line:a5780e74	It's wonderful to be back!	Tekrar burada olmak harika!
line:649e8eb3	Its a nice get away from everything out there.	Dışarıdaki her şeyden biraz uzaklaşmak iyi geliyor.
line:d0361dd9	Its like an equine fusion thing...	At mutfağıyla başka mutfakları birleştiren bir yer...
line:df86a610	Jokes aside, your wash is definitely the best.	Şaka bir yana, senin yıkaman kesinlikle en iyisi.
line:7fe40d2b	Just a rough day. Hoping this helps!	Zor bir gün geçirdim. Umarım iyi gelir!
line:ce77a00e	Just did!	Az önce konuştum!
line:7c93c604	Just doing my job!	Sadece işimi yapıyorum!
line:fa0a9fbb	Just having fun.	Sadece eğleniyordum.
line:9e9425cd	Just possibly...	Yalnızca ihtimal olarak...
line:1d73a343	Just some drake at the bar. Was stupid... Couldn't shut my mouth.	Bardaki bir ejderha işte. Aptallık ettim... Çenemi kapatamadım.
line:ecb9a15d	Just touch me with your hand and I'll try to help.	Elinle dokunman yeter, yardımcı olmaya çalışırım.
line:14209365	Just uhm... Don't tell anyone I'm saying all this.	Sadece, şey... Bunları söylediğimi kimseye anlatma.
line:3bac1dad	Just... open the gate.	Sadece... kapıyı aç.
line:4f826403	Keep going a little longer please	Lütfen biraz daha devam et.
line:087039ba	Keep going.	Devam et.
line:d8f92323	Kinda! I've been getting out more.	Sayılır! Daha çok dışarı çıkıyorum.
line:b965b4dd	Knock that off, we're not done yet. Right?	Şunu yapmayı bırak, daha bitirmedik. Değil mi?
line:d9d276bb	Kobolds always seem enamored by me eating.	Koboldlar yemek yememi izlerken hep büyüleniyor gibi.
line:0274cacd	Kobolds are very flexible. It will fit.	Koboldlar çok esnektir. Sığar.
line:20cb68b9	lemme in?	İçeri alır mıfın?
line:41d5085a	Let go whenever you are ready.	Hazır olduğunuzda bırakın.
line:29a77d09	Let me give it a try!	Bırak da deneyeyim!
line:265e14cb	Let me know when you're finished rinsing.	Durulama bitince haber verin.
line:0e1fd4b0	Let the <i>big C</i> out of this place!	<i>Büyük C</i>'yi buradan çıkar!
line:f7382398	Let's get going~!	Başlayalım~!
line:c50535b3	Let's have it!	Gelsin!
line:9accd60e	Lets wash it off for our date tonight then.	O zaman bu geceki randevumuz için yıkayalım.
line:7ce1b833	Like what?	Nasıl yani?
line:cb91e703	Like, I love those around me, but there's a lot of baggage there.	Etrafımdakileri seviyorum ama orada geçmişten gelen çok yük var.
line:aa1c54ab	Like, in general.	Genel olarak diyorum.
line:bbe51f87	Like, in general.	Genel olarak diyorum.
line:7b7b0a3f	Like, the future of my relationships.	Yani, ilişkilerimin geleceğini.
line:db79a905	Like... a lemon?	Yani... limon gibi mi?
line:ffd7dcc4	Like... An asshole? I know I'm miserable to be around.	Yani... götün teki gibi? Yanımda olmanın çekilmez olduğunu biliyorum.
line:a0a0a49c	Like... sexual stuff?	Yani... cinsel şeyler mi?
line:9becd177	Look at me! I'll be the laughing stock of my students.	Hâlime bakın! Öğrencilerimin alay konusu olacağım.
line:9711cf03	Lookin' for a hose down. Wouldn't mind using the mount aswell.	Bir güzel su tutulmasını istiyorum. Sehpayı da kullanmak fena olmaz.
line:abdb5822	Looking forward to seeing ya'	Seni görmeyi dört gözle bekliyorum.
line:5c335985	Looking forward to seeing you soon.	Sizi yakında görmeyi bekliyorum.
line:1d0abc80	Looking forward to the wash.	Yıkanmayı sabırsızlıkla bekliyorum.
line:646279a0	Looks like it.	Öyle görünüyor.
line:b6093881	Looks like ya' got a shipment, eh?	Görünüşe göre bir teslimat almışsın, ha?
line:f1fc3e3c	Luckily death via spontaneous combustion is a concept we have thoroughly curtailed in the modern world.	Neyse ki modern dünyada kendiliğinden yanarak ölme durumunu büyük ölçüde azalttık.
line:d2ba8ba9	Made a bit of a mess... Still worth it.	Biraz kirlettim... Ama değdi.
line:301e8665	Make haste! My reputation is on the line.	Çabuk olun! İtibarım tehlikede.
line:5072cc60	Make sure you're very clean. <size=70%><i>hehe.	Çok temiz olduğundan emin ol. <size=70%><i>Hehe.
line:da21cf49	Makes sense! Yeah tiny drakes are fun.	Mantıklı! Küçük ejderhalar eğlencelidir.
line:22b2643b	Makes sense.	Mantıklı.
line:e7f0e9ed	Makes sense.	Mantıklı.
line:89c9a73b	Many think it's part of my body.	Birçok kişi bedenimin bir parçası sanıyor.
line:d7bcbe29	Max says I'm a clumsy dragon,	Max sakar bir ejderha olduğumu söylüyor,
line:db986d0d	May you open the gate?	Kapıyı açabilir misiniz?
line:76a97730	Maybe later...?	Belki sonra...?
line:08a422ba	Maybe like...	Belki şöyle...
line:6f293b7a	Maybe someone new...	Belki yeni birini...
line:d2558a04	Maybe someone?	Belki de birini?
line:67a46ddc	Maybe we can hang out later?	Belki sonra birlikte takılırız?
line:5691478f	Maybe we could just... Walk?	Belki sadece... yürüyebiliriz?
line:7734bf93	Me too, thanks!	Ben de, sağ ol!
line:627a13e4	Me too.	Ben de.
line:d3c733f5	Me too.	Ben de.
line:ffa63d1b	Me too.	Ben de.
line:040ee2a7	me too.	Ben de.
line:d13cd125	Me.	Kendim olmamı.
line:14e7b293	Me?	Ben?
line:b9cb051a	Means I'm ready to go on a date with a certain kobold.	Belli bir koboldla randevuya çıkmaya hazırım demek.
line:e5da247d	Means you know how to get hands on!	Yani elini işe nasıl atacağını biliyorsun!
line:171707d2	Mhm!	Hı hı!
line:11306335	Mhm! Come back anytime.	Hı hı! İstediğin zaman gel.
line:69dd6a73	Mhm! he's trying to meet new people.	Hı hı! Yeni insanlarla tanışmaya çalışıyor.
line:da17b746	Mhm! I'm <i>the</i> kobold!	Hı hı! <i>O</i> kobold benim!
line:a0cb3f78	Mhm! that's him.	Hı hı! Ta kendisi.
line:164fdb01	Mhm, he's trying.	Hı hı, çabalıyor.
line:1a663dcf	Mhm, right this way.	Hı hı, bu taraftan.
line:3cd8a8bd	Mhm... Thank you.	Hı hı... Teşekkür ederim.
line:4546abce	Might seem kinda weird to ask now. Buuuut.	Şimdi sormak tuhaf gelebilir. Amaaa...
line:57d8b72a	Mind opening the gate to let me out?	Çıkmam için kapıyı açar mısın?
line:b2a507ab	Mind opening the gate to let me out?	Çıkmam için kapıyı açar mısın?
line:6d726280	Mind washing more?	Biraz daha yıkar mısın?
line:c8281b83	Mmm, I understand that to mean you'll get the gate?	Hım, bunu kapıyı açacağınız şeklinde anlıyorum?
line:dd0c77ae	Mmm, Yeah I know the type.	Hım, evet. Bu tipleri bilirim.
line:d8cafcc7	mmm..	Mmm...
line:729cea0c	Mmmhm, I always do my best.	Hı hı, hep elimden geleni yaparım.
line:f36b8b76	Mmmhm. I'll work on my sleep schedule...	Hıı hı. Uyku düzenimi düzeltmeye çalışacağım...
line:d38efb75	Mmmmhm, gotta prep for a date with him.	Hıı hı, onunla randevuma hazırlanmam lazım.
line:a78dd44b	mmph! (Yea!)	Mmf! (Evet!)
line:b132719c	Mmph- Hm?	Mmf... Hım?
line:16ee6b14	Money... mmm...	Para... Hım...
line:d8cc8048	Most people do!	Çoğu kişi sever!
line:3d723db0	Must mean you two are a good match.	Demek birbirinize uygunsunuz.
line:9ca994a5	My bad	Benim hatam.
line:aaecba3d	My bad	Benim hatam.
line:fedbf70c	My colleague, professor Igwyx, wished to use me as a platform.	Meslektaşım Profesör Igwyx, beni bir platform olarak kullanmak istedi.
line:08af3902	My date with Ryan was...	Ryan'la randevum...
line:116b5405	My date with Ryan was...	Ryan'la randevum...
line:e26c3b65	My first ever Yarn script in Unity!	Unity içindeki ilk Yarn senaryom!
line:f15b014f	My names Ryan. So...	Benim adım Ryan. Şey...
line:e4aced7b	My students could learn a thing or two from your work ethic!	Öğrencilerim sizin iş ahlakınızdan çok şey öğrenebilir!
line:dfe74420	My-	Aman...
line:9b915bf2	Nah.	Yok.
line:c3642dec	Nah.	Yok.
line:393c128a	Never cleaned a teacher dragon... woah.	Daha önce hiç öğretmen bir ejderha yıkamadım... Vay.
line:a99b03ed	Never tried it.	Hiç denemedim.
line:6df809e1	Nevermind. Could you get the gate?	Boş ver. Kapıyı açar mısın?
line:d3a50f3f	Next time I come in for a wash we'll go.	Bir dahaki yıkanmaya gelişimde gideriz.
line:ac5afd96	Next time I come in I'll have reservations!	Bir dahaki gelişimde rezervasyon yapmış olacağım!
line:8990fcc9	Nice! Whats with all the... Gloop?	Güzel! Bütün bu... yapış yapış şeyler de ne?
line:1d4b8528	Nice. Gotta open the gate though. Let Conrad in!	Güzel. Ama kapıyı açman lazım. Conrad'ı içeri al!
line:acab92d4	Nnf... I believe I needed that. Thank you.	Nnf... Sanırım buna ihtiyacım vardı. Teşekkür ederim.
line:8fe11008	Nnnf... That was way better than those berries.	Nnnf... O meyvelerden çok daha iyiydi.
line:b251704a	No	Hayır.
line:e05c2dca	No	Hayır.
line:dc86c2de	no	hayır
line:5794ea87	No amount of justification makes it feel good though.	Ama ne kadar haklı gerekçem olsa da iyi hissettirmiyor.
line:5a5ec440	No I actually just got it	Hayır, aslında yeni aldım.
line:cd5f07ca	No more excuses.	Artık bahane yok.
line:4b38230f	No need for thanks. I'll get the gate.	Teşekküre gerek yok. Kapıyı açayım.
line:11604fbd	No need to be nervous, Alexander!	Gerilmenize gerek yok, Alexander!
line:eefef647	No need to be.	Mahcup olmanıza gerek yok.
line:73ea230a	No no, you're a certified cleaner yeah?	Yok, yok. Sen belgeli bir yıkayıcısın, değil mi?
line:743c64e6	No not really.	Hayır, pek değil.
line:50feefe8	No problem!	Sorun değil!
line:1a9a36e1	No problem! Can't wait for you to meet Conrad.	Sorun değil! Conrad'la tanışmanı sabırsızlıkla bekliyorum.
line:0a9993d2	No problem, thanks!	Sorun değil, sağ ol!
line:10bdb3a4	No problem, thanks!	Sorun değil, sağ ol!
line:3a8f65fa	No problem.	Sorun değil.
line:ee3d0ee4	No problem. Let me get that gate for ya'!	Sorun değil. Kapıyı açayım!
line:eedccaec	No way.	Yok artık.
line:f0351f0c	No way.	Yok artık.
line:d726f776	No worries,	Sorun değil,
line:12b7a5b3	No! I mean, yes, but for the sake of my reputation could you please keep my incursion here to yourself.	Hayır! Yani, evet ama itibarımın iyiliği için buraya gelişimi aramızda tutabilir misiniz?
line:f7f963e3	No, I am.	Hayır, kirliyim.
line:54faa7c0	No, I don't think I do.	Yok, sanmıyorum.
line:38419d8b	No, it's not. No more excuses.	Hayır, sorun var. Artık bahane yok.
line:cd9b2a8f	No, thank you. I'm... Really excited.	Hayır, ben teşekkür ederim. Çok... heyecanlıyım.
line:1af1ad05	No, we don't offer things like that here.	Hayır, burada öyle hizmetler vermiyoruz.
line:cb7e94e5	no.	Hayır.
line:6128a09c	No. A lime that is yellow.	Hayır. Sarı renkte bir misket limonu.
line:de25dacd	No. I'm not. Do you have a medkit or not?	Hayır, değilim. İlk yardım çantan var mı, yok mu?
line:1cc64bcf	No.. No it's fine... thank you.	Hayır... Hayır, sorun değil... Sağ ol.
line:525f5744	Nope	Hayır.
line:fbd2c3e7	Nope.	Hayır.
line:5406ba8e	Normally I'd say yes to a mount. But, not right now.	Normalde sehpaya evet derdim. Ama şimdi değil.
line:ab92da6a	Not anymore at least!	En azından artık değil!
