# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Salut, gros toutou.
line:d0f6a49a	I'll see you next time I come in, yeah?	On se revoit la prochaine fois que je viens, d'accord ?
line:160bf40f	I'll start prepping for it.	Je vais commencer à préparer tout ça.
line:8af64cb8	I'll take care of this, don't you worry.	Je m'en occupe, ne t'inquiète pas.
line:e20c6391	I'll tell you in a bit. Could you just get the gate for now?	Je t'expliquerai après. Tu peux juste ouvrir le portail pour l'instant ?
line:04c62f9b	I'm <i>spotless</i>.	Je suis <i>impeccable</i>.
line:629f8cff	I'm a bit of a big deal around there.	Je suis un peu une célébrité là-bas.
line:d9272031	I'm a dragon.	Je suis un dragon.
line:675e7284	I'm a rule breaker!	Moi, je défie les règles !
line:afcd5586	I'm a... kobold.	Je suis un... kobold.
line:5d41b5d6	I'm all dirty still!	Je suis encore tout sale !
line:2f6eb3c3	I'm all soapy still!	Je suis encore plein de savon !
line:18707b19	I'm always happy to give you a wash!	C'est toujours un plaisir de te laver !
line:3b01eb3b	I'm always happy to give you a wash!	C'est toujours un plaisir de te laver !
line:d82b1a7d	I'm always happy to help. <i><size=70%> especially a big dragon.	Je suis toujours ravi d'aider. <i><size=70%>Surtout un grand dragon.
line:46c6a3ed	I'm always happy to see you Ryan.	Je suis toujours content de te voir, Ryan.
line:75206eee	I'm always happy to see you Ryan.	Je suis toujours content de te voir, Ryan.
line:fa6e232e	I'm always happy to see you. I'll go get the gate for you.	Je suis toujours content de vous voir. Je vais vous ouvrir.
line:07e5fc05	I'm amazed!	Je suis impressionné !
line:4586d55d	I'm an asshole. I know I am.	Je suis un connard. Je le sais.
line:a6d46685	I'm certain he also finds you pleasant!	Je suis certain qu'il vous apprécie aussi !
line:ef399e26	I'm doing good!	Je vais bien !
line:a6c1f2f4	I'm excited for you!	Je suis ravi pour toi !
line:94fbdbf0	I'm excited for you. I'll get the gate!	Je suis content pour toi. Je vais ouvrir !
line:f83e4966	I'm excited to hear about it!	J'ai hâte que tu me racontes !
line:bd55b8f4	I'm excited to see them washing down the drain though.	Mais j'ai aussi hâte de les voir partir dans l'évacuation.
line:24832f01	I'm excited.	J'ai hâte.
line:69f406a6	I'm excited.	J'ai hâte.
line:a00f681d	I'm excited.	J'ai hâte.
line:a0479425	I'm excited.	J'ai hâte.
line:b5d7d26f	I'm excited.	J'ai hâte.
line:d66b9155	I'm excited.	J'ai hâte.
line:4e1b1d0a	I'm glad you derive enjoyment from this as well.	Je suis ravi que vous y preniez plaisir également.
line:5db47405	I'm glad you enjoy him. I'm certain he finds you pleasant.	Je suis heureux que vous l'appréciiez. Je suis certain que c'est réciproque.
line:c56ee060	I'm glad you enjoy my crest.	Je suis heureux que mon emblème vous plaise.
line:f44a1493	I'm glad you trust me.	Je suis content que vous me fassiez confiance.
line:3a2ed5ef	I'm glad you two are working out though.	En tout cas, je suis content que ça marche entre vous.
line:c0972e81	I'm glad you two are working out.	Je suis content que ça marche entre vous.
line:34ba77b1	I'm glad you were able to make the choice that was best for you.	Je suis content que tu aies pu prendre la meilleure décision pour toi.
line:d5a90e1c	I'm glad!	J'en suis heureux !
line:286fec49	I'm glad.	J'en suis content.
line:42f5fd9d	I'm glad.	J'en suis content.
line:99b6dc81	I'm glad.	J'en suis content.
line:570d4953	I'm happy for you!	Je suis content pour vous !
line:ac6d5bd3	I'm happy for you!	Je suis content pour vous !
line:ed5c40ca	I'm happy for you!	Je suis content pour vous !
line:79099951	I'm happy to be here too.	Moi aussi, je suis heureux d'être ici.
line:99fd9b51	I'm happy to give you a place you can relax.	Je suis content de vous offrir un endroit où vous détendre.
line:5d36d5c8	I'm happy to have met you.	Je suis heureux de vous avoir rencontré.
line:ce21622a	I'm happy to hear that.	Je suis heureux de l'entendre.
line:69963a6c	I'm happy you feel comfy here.	Je suis content que vous soyez à l'aise ici.
line:38388248	I'm here for a wash.	Je viens pour un bain.
line:a6974256	I'm here if you need someone to talk to.	Je suis là si tu as besoin de parler à quelqu'un.
line:6690512d	I'm impressed.	Tu m'impressionnes.
line:2e424b13	I'm in need of another wash.	J'ai besoin d'un autre bain.
line:ef91a572	I'm Jealous!	Je suis jaloux !
line:a79b8639	I'm just happy I don't feel judged here.	Je suis juste content de ne pas me sentir jugé ici.
line:8076eb95	I'm just here for a wash though.	Mais je viens juste pour un bain.
line:c2caa0b7	I'm just here to bring you food!	Je suis juste venu t'apporter à manger !
line:ec6c7823	I'm just... Happy.	C'est juste... que je suis heureux.
line:ed4b0d48	I'm kind of excited.	Ça me fait plutôt envie.
line:266c652e	I'm looking forward to seeing you again	J'ai hâte de te revoir.
line:e91e2041	I'm not <i>that</i> little-	Je ne suis pas <i>si</i> petit...
line:cf05a364	I'm not certain why I suddenly understand your 'Yips'	J'ignore pourquoi je comprends soudain vos « yips ».
line:dcc4774b	I'm not too sure. It was on sale at WingCo.	Je ne sais pas trop. Il était en promotion chez WingCo.
line:5b31909a	I'm only doing what I think is right.	Je fais juste ce qui me semble juste.
line:7fe349d7	I'm profoundly embarrassed by this whole ordeal.	Toute cette affaire me met profondément dans l'embarras.
line:cfaffc52	I'm pumped.	J'ai trop hâte.
line:c0a140f8	I'm really fond of letting folks ride on my back.	J'aime beaucoup porter les gens sur mon dos.
line:1a5e6184	I'm really looking forward to this.	J'ai vraiment hâte d'y être.
line:8b43a434	I'm really sorry you got hurt. Who did this?	Je suis vraiment désolé pour tes blessures. Qui t'a fait ça ?
line:69ffe957	I'm so excited about this date!	J'ai tellement hâte de ce rendez-vous !
line:e6290003	I'm so excited. I'll get you two in contact!	J'ai tellement hâte. Je vous mettrai en contact !
line:e8611ad0	I'm sorry for dumping that all on you earlier.	Désolé de t'avoir déballé tout ça tout à l'heure.
line:e613b1c3	I'm sorry I snapped at you earlier.	Désolé de t'avoir parlé comme ça tout à l'heure.
line:de208e68	I'm sorry you got hurt...	Je suis désolé qu'on t'ait fait du mal...
line:4843bb47	I'm still very muddy, if you could soap me up that'd be great.	Je suis encore très boueux. Ce serait bien de me savonner.
line:51d4e418	I'm such an idiot.	Quel con je fais.
line:32114891	I'm sure nobody will know...	Je suis sûr que personne ne le saura...
line:17a05c96	I'm sure we'll figure something out! just meet me at the pier!	On trouvera bien quelque chose ! Retrouve-moi sur la jetée !
line:8136ef1a	I'm surprised how nice it is.	Je suis surpris que ce soit si agréable.
line:722c6ab2	I'm thinking a date soon.	Je pense qu'on va sortir ensemble bientôt.
line:3471e9b1	I'm trying my best.	Je fais de mon mieux.
line:01492e5e	I'm trying not to be pushy.	J'essaie de pas être insistant.
line:4d6cd625	I'm trying to get away from the house for a bit.	J'essaie de m'éloigner un peu de la maison.
line:c1ef777a	I'm unsure why speaking with you is so easy.	J'ignore pourquoi il m'est si facile de vous parler.
line:822c0718	I'm very excited.	J'ai vraiment hâte.
line:ddab3d34	I'm very satisfied with these results..	Je suis très satisfait du résultat..
line:03eb977c	I'm well aware. A deep clean has a distinct feel!	Je le sais bien. On reconnaît un nettoyage en profondeur !
line:f9193c0d	I'm willing to do it. But I'd like something new.	Je veux bien faire l'effort. Mais j'aimerais du nouveau.
line:63981253	I'm... Happy.	Je suis... heureux.
line:f80bd44b	I'm... not certain I'd like to use this today.	Je... ne suis pas certain de vouloir utiliser ceci aujourd'hui.
line:d422462e	I'm... not sure I can answer that for you.	Je... ne suis pas sûr de pouvoir répondre à ta place.
line:8f107933	I'm... Rather close now	Je suis... assez proche, maintenant.
line:24c52c54	I'm... wondering...	Je... me demandais...
line:6bbd7f1d	I've always hated the rain.	J'ai toujours détesté la pluie.
line:b4353808	I've always loved giving my biped friends rides...	J'ai toujours aimé promener mes amis bipèdes sur mon dos...
line:9541fceb	I've been considering asking you this for a while now.	Cela fait quelque temps que j'envisage de vous le demander.
line:505154a4	I've been thinking...	Je réfléchissais...
line:58b4f5fb	I've been told it's polite to talk to smaller folk face to face.	On m'a dit qu'il était poli de parler face à face avec les plus petits.
line:2c560e29	I've been trying to get into the social sciences aswell.	J'essaie aussi de m'intéresser aux sciences sociales.
line:b4a29141	I've got a guy who can drop a gift by tomorrow that would spruce things up.	Je connais un gars qui peut déposer un cadeau demain. Ça donnera un peu de vie à tout ça.
line:212f0021	I've had a lot of free time lately.	J'ai beaucoup de temps libre, ces derniers temps.
line:701b9feb	I've had a lot of free time lately.	J'ai beaucoup de temps libre, ces derniers temps.
line:79da763f	I've had a lot of free time lately.	J'ai beaucoup de temps libre, ces derniers temps.
line:3c4443fd	I've seen bigger	J'en ai vu de plus grosses.
line:d7a90078	I...	Je...
line:393d0e05	I... hm.	Je... Mmh.
line:0da5609b	I... Know this is unprompted.	Je... sais que cela sort de nulle part.
line:5cfb94b9	If a relationship is <i>so</i> bumpy and you know its going to end.	Si une relation est <i>vraiment</i> compliquée et que tu sais qu'elle va se terminer.
line:b2f52b23	If I could uhm...	Si je pouvais, euh...
line:b4990e3d	If I'm honest. I've had a crush on you for a bit.	Pour être honnête, j'ai un faible pour toi depuis un moment.
line:7c13c28e	If only.	Si seulement.
line:a56c5621	If someone like Ryan is interested, you're doing great.	Si tu plais à quelqu'un comme Ryan, tu t'en sors très bien.
line:52f28749	If we're caught violating another policy my reputation would be in ruins!	Si l'on nous surprend à enfreindre une autre règle, ma réputation sera ruinée !
line:83f511d2	If ya' place the mount for me I'll have at it.	Si tu m'installes le chevalet, je m'y mets.
line:7ead92b1	If you could come up front so I could talk.	Si tu pouvais venir devant pour qu'on discute.
line:e78656aa	If you could come up to where I can see you.	Tu peux venir là où je te vois ?
line:9a013329	If you wanna talk about it more, I've got a minute.	Si tu veux en parler un peu plus, j'ai un moment.
line:3d014153	If you want to use it that's fine!	Si vous voulez l'utiliser, il n'y a aucun problème !
line:a9eb9a76	if you're seeing this please grab nael or submit a bug report	Si vous voyez ceci, prévenez Nael ou envoyez un rapport de bug.
line:b9ab4eed	Im not complaining though.	Mais je vais pas m'en plaindre.
line:27340362	In a bad way?	Dans le mauvais sens ?
line:2019bb85	In a good way?	Dans le bon sens ?
line:91d5fb72	Incredible!	Incroyable !
line:61c8781b	Indeed! You're the only kobold I wish to wash me now.	En effet ! Désormais, vous êtes le seul kobold par qui je souhaite être lavé.
line:a5979ac9	Indeed, you must know of my crest! I teach alchemy.	En effet, vous avez dû reconnaître mon emblème ! J'enseigne l'alchimie.
line:dd9d30d2	Indeed. I'm glad you were able to help.	En effet. Je suis heureux que vous ayez pu m'aider.
line:fd5ddfcb	Indeed. You're an excellent person to be around.	En effet. Votre compagnie est excellente.
line:78c9b5cc	Is everything okay?	Tout va bien ?
line:bea8f1f7	Is something on your mind?	Quelque chose te tracasse ?
line:6b6dd8bc	Is that a good thing...?	C'est une bonne chose... ?
line:848727f2	Is that a threat...?	C'est une menace... ?
line:db302830	Is that why you came in the first time?	C'est pour ça que tu es venu la première fois ?
line:00e41343	Is this good?	C'est bien comme ça ?
line:7982d3d8	Is this the right place?	C'est bien ici ?
line:c48f59a9	Is this the right place?	C'est bien ici ?
line:b05f6eea	Isn't that... Wood?	Ce n'est pas... du bois ?
line:bf137cb4	It arrived this morning, it should be near the gate.	Il est arrivé ce matin. Il devrait être près du portail.
line:5080b6dd	It depends! Dragon thing.	Ça dépend ! Un truc de dragons.
line:34cf0601	It did! Thanks for asking.	Oui ! Merci de demander.
line:900dca3c	It does wonders.	Cela fait des merveilles.
line:cfd504c5	It does wonders.	Cela fait des merveilles.
line:ac13bf68	It is indeed rather cool.	Cela l'est, en effet.
line:ea445b46	It is rather novel isn't it?	C'est assez inédit, n'est-ce pas ?
line:56d34a41	It is? Good to know...	Ah bon ? C'est bon à savoir...
line:b058318f	It means you're doing a good job in kobold.	Ça veut dire que tu te débrouilles bien, en kobold.
line:13c906c7	It really has been. You're wonderful.	Vraiment. Tu es merveilleux.
line:b032bfb1	It turns out baking is messy!	Il se trouve que la pâtisserie, c'est salissant !
line:da4f12a1	It turns out baking is messy!	Il se trouve que la pâtisserie, c'est salissant !
line:e106207b	It turns out baking is messy!	Il se trouve que la pâtisserie, c'est salissant !
line:e0c8c57b	It was good. We had sex.	Bien. On a couché ensemble.
line:681117ec	It was great. Conrad is wild. Good wild.	Très bien. Conrad est une vraie tornade. Dans le bon sens.
line:28eee9f5	It went great!	C'était super !
line:92bfe06c	It went great!	C'était super !
line:a5d2b991	It went well.	Ça s'est bien passé.
line:1ab5969b	It would be a... date. As most would say.	Ce serait un... rendez-vous galant. Comme on dit.
line:8440a3f4	It's a regrettable state I find myself in...	Je me trouve dans un état déplorable...
line:1706e86d	It's also new to me...	C'est nouveau pour moi aussi...
line:c1b8e62b	It's always good when a kobold knows what they like.	C'est toujours bien quand un kobold sait ce qu'il aime.
line:deffce5c	It's crazy how much your neck can handle.	C'est fou, tout ce que ton cou peut laisser passer.
line:2e182063	It's difficult to find folks that are outside of my current bubble.	C'est difficile de rencontrer des gens en dehors de mon cercle habituel.
line:48cfc92b	It's endearing!	C'est attendrissant !
line:5b6f00bd	It's fine.	Ce n'est pas grave.
line:13dc0f15	It's fine. I close in about an hour.	Ce n'est pas grave. Je ferme dans une heure environ.
line:23ac92c8	It's freeing. I'll be back, yeah?	C'est libérateur. Je reviendrai, d'accord ?
line:de9fdb93	It's hard to hold back..	C'est dur de se retenir..
line:9ebea3d0	It's hard to not be nervous after everything...	Difficile de pas stresser après tout ça...
line:ec8243d8	It's interesting; you bipeds tend to savor your meals.	C'est curieux, vous autres bipèdes avez tendance à savourer vos repas.
line:d50cb509	It's just that something happened to Conrad, I hope he's okay.	C'est juste qu'il est arrivé quelque chose à Conrad. J'espère qu'il va bien.
line:bee6c7dd	It's just that...	C'est juste que...
line:3b76093c	It's made for eating things whole.	Il est fait pour avaler les choses entières.
line:19f36dc0	It's my dream.	C'est mon rêve.
line:18db795f	It's never easy to end things.	Ce n'est jamais facile de rompre.
line:049fb01f	It's nice to have friends to rely on.	C'est bien d'avoir des amis sur qui compter.
line:ed69e3a1	It's nice to relinquish control, even for a moment.	Il est agréable de céder le contrôle, ne serait-ce qu'un instant.
line:e9d34ea0	It's no biggie. It sounds like everyone is fine.	Ce n'est pas bien grave. Tout le monde a l'air d'aller bien.
line:7e511da7	It's okay!	Ce n'est pas grave !
line:b14d8520	It's okay, you sound like you need it.	Ça va, tu as l'air d'en avoir besoin.
line:50b95260	It's okay. I needed to. She wasn't making me happy.	Ça va. Il le fallait. Je n'étais pas heureux avec elle.
line:47455767	It's okay. I'll figure something out.	Ça va. Je trouverai une solution.
line:9287c933	It's starting to feel like it's <i>my</i> fault.	Je commence à me dire que c'est <i>ma</i> faute.
line:7ab244af	It's the best way to enjoy food.	C'est la meilleure façon d'apprécier un repas.
line:0b7589ff	It's the mount you asked for.	C'est le chevalet que tu as demandé.
line:a5780e74	It's wonderful to be back!	C'est merveilleux de revenir !
line:649e8eb3	Its a nice get away from everything out there.	Ça fait une belle pause loin de tout ce qui se passe dehors.
line:d0361dd9	Its like an equine fusion thing...	C'est une sorte de cuisine fusion des peuples équins...
line:df86a610	Jokes aside, your wash is definitely the best.	Blague à part, ton établissement est vraiment le meilleur.
line:7fe40d2b	Just a rough day. Hoping this helps!	Juste une journée difficile. J'espère que ça aidera !
line:ce77a00e	Just did!	Je viens de le faire !
line:7c93c604	Just doing my job!	Je fais juste mon travail !
line:fa0a9fbb	Just having fun.	Je m'amuse, c'est tout.
line:9e9425cd	Just possibly...	Éventuellement...
line:1d73a343	Just some drake at the bar. Was stupid... Couldn't shut my mouth.	Un dragon au bar. J'ai été con... J'ai pas su la fermer.
line:ecb9a15d	Just touch me with your hand and I'll try to help.	Touche-moi simplement avec la main et j'essaierai d'aider.
line:14209365	Just uhm... Don't tell anyone I'm saying all this.	Juste, euh... Dis à personne que je raconte tout ça.
line:3bac1dad	Just... open the gate.	Ouvre juste... le portail.
line:4f826403	Keep going a little longer please	Continue encore un peu, s'il te plaît.
line:087039ba	Keep going.	Continue.
line:d8f92323	Kinda! I've been getting out more.	Plus ou moins ! Je sors davantage.
line:b965b4dd	Knock that off, we're not done yet. Right?	Arrête ça, on n'a pas encore fini. Si ?
line:d9d276bb	Kobolds always seem enamored by me eating.	Les kobolds ont toujours l'air fascinés quand je mange.
line:0274cacd	Kobolds are very flexible. It will fit.	Les kobolds sont très souples. Ça va rentrer.
line:20cb68b9	lemme in?	Tu me laiches entrer ?
line:41d5085a	Let go whenever you are ready.	Laissez-vous aller quand vous serez prêt.
line:29a77d09	Let me give it a try!	Laisse-moi essayer !
line:265e14cb	Let me know when you're finished rinsing.	Prévenez-moi quand vous aurez terminé le rinçage.
line:0e1fd4b0	Let the <i>big C</i> out of this place!	Fais sortir le <i>grand C</i> !
line:f7382398	Let's get going~!	C'est parti~ !
line:c50535b3	Let's have it!	Vas-y, lâche tout !
line:9accd60e	Lets wash it off for our date tonight then.	Alors, on va nettoyer ça pour notre rendez-vous de ce soir.
line:7ce1b833	Like what?	Comme quoi ?
line:cb91e703	Like, I love those around me, but there's a lot of baggage there.	J'aime mes proches, mais il y a tout un passé qui complique les choses.
line:aa1c54ab	Like, in general.	Pour tout, en fait.
line:bbe51f87	Like, in general.	Pour tout, en fait.
line:7b7b0a3f	Like, the future of my relationships.	À mes futures relations, quoi.
line:db79a905	Like... a lemon?	Comme... un citron jaune ?
line:ffd7dcc4	Like... An asshole? I know I'm miserable to be around.	Comme... un connard ? Je sais que je suis invivable.
line:a0a0a49c	Like... sexual stuff?	Genre... des trucs sexuels ?
line:9becd177	Look at me! I'll be the laughing stock of my students.	Regardez-moi ! Je vais être la risée de mes étudiants.
line:9711cf03	Lookin' for a hose down. Wouldn't mind using the mount aswell.	Je viens me faire rincer. Et le chevalet me déplairait pas non plus.
line:abdb5822	Looking forward to seeing ya'	J'ai hâte de te revoir.
line:5c335985	Looking forward to seeing you soon.	Au plaisir de vous revoir bientôt.
line:1d0abc80	Looking forward to the wash.	J'ai hâte de me faire laver.
line:646279a0	Looks like it.	On dirait bien.
line:b6093881	Looks like ya' got a shipment, eh?	On dirait que t'as reçu une livraison, hein ?
line:f1fc3e3c	Luckily death via spontaneous combustion is a concept we have thoroughly curtailed in the modern world.	Heureusement, la mort par combustion spontanée est un phénomène que nous avons largement endigué dans le monde moderne.
line:d2ba8ba9	Made a bit of a mess... Still worth it.	J'en ai mis un peu partout... Mais ça valait le coup.
line:301e8665	Make haste! My reputation is on the line.	Hâtez-vous ! Ma réputation est en jeu.
line:5072cc60	Make sure you're very clean. <size=70%><i>hehe.	Assure-toi d'être bien propre. <size=70%><i>Héhé.
line:da21cf49	Makes sense! Yeah tiny drakes are fun.	Ça se comprend ! Oui, les petits dragons sont sympas.
line:22b2643b	Makes sense.	C'est logique.
line:e7f0e9ed	Makes sense.	C'est logique.
line:89c9a73b	Many think it's part of my body.	Beaucoup pensent qu'il fait partie de mon corps.
line:d7bcbe29	Max says I'm a clumsy dragon,	Max dit que je suis un dragon maladroit.
line:db986d0d	May you open the gate?	Pourriez-vous ouvrir le portail ?
line:76a97730	Maybe later...?	Peut-être plus tard... ?
line:08a422ba	Maybe like...	Peut-être, disons...
line:6f293b7a	Maybe someone new...	Peut-être quelqu'un de nouveau...
line:d2558a04	Maybe someone?	Ou de quelqu'un ?
line:67a46ddc	Maybe we can hang out later?	On pourrait peut-être passer du temps ensemble plus tard ?
line:5691478f	Maybe we could just... Walk?	On pourrait peut-être juste... se promener ?
line:7734bf93	Me too, thanks!	Moi aussi, merci !
line:627a13e4	Me too.	Moi aussi.
line:d3c733f5	Me too.	Moi aussi.
line:ffa63d1b	Me too.	Moi aussi.
line:040ee2a7	me too.	Moi aussi.
line:d13cd125	Me.	Moi-même.
line:14e7b293	Me?	Moi ?
line:b9cb051a	Means I'm ready to go on a date with a certain kobold.	Ça veut dire que je suis prêt à sortir avec un certain kobold.
line:e5da247d	Means you know how to get hands on!	Ça veut dire que tu sais mettre la main à la pâte !
line:171707d2	Mhm!	Mmh !
line:11306335	Mhm! Come back anytime.	Mmh ! Reviens quand tu veux.
line:69dd6a73	Mhm! he's trying to meet new people.	Mmh ! Il cherche à faire de nouvelles rencontres.
line:da17b746	Mhm! I'm <i>the</i> kobold!	Mmh ! Je suis <i>le</i> kobold !
line:a0cb3f78	Mhm! that's him.	Mmh ! C'est lui.
line:164fdb01	Mhm, he's trying.	Mmh, il fait des efforts.
line:1a663dcf	Mhm, right this way.	Mmh, par ici.
line:3cd8a8bd	Mhm... Thank you.	Mmh... Merci.
line:4546abce	Might seem kinda weird to ask now. Buuuut.	Ça va peut-être faire bizarre de demander ça maintenant. Maiiis...
line:57d8b72a	Mind opening the gate to let me out?	Tu peux m'ouvrir le portail pour que je sorte ?
line:b2a507ab	Mind opening the gate to let me out?	Tu peux m'ouvrir le portail pour que je sorte ?
line:6d726280	Mind washing more?	Tu peux continuer à me laver ?
line:c8281b83	Mmm, I understand that to mean you'll get the gate?	Mmm, dois-je comprendre que vous allez ouvrir le portail ?
line:dd0c77ae	Mmm, Yeah I know the type.	Mmm, oui, je connais le genre.
line:d8cafcc7	mmm..	Mmm...
line:729cea0c	Mmmhm, I always do my best.	Mmh, je fais toujours de mon mieux.
line:f36b8b76	Mmmhm. I'll work on my sleep schedule...	Mmmh. Je vais essayer de retrouver un rythme de sommeil...
line:d38efb75	Mmmmhm, gotta prep for a date with him.	Mmmh, il faut que je me prépare pour un rendez-vous avec lui.
line:a78dd44b	mmph! (Yea!)	Mmph ! (Ouais !)
line:b132719c	Mmph- Hm?	Mmph... Mmh ?
line:16ee6b14	Money... mmm...	L'argent... Mmm...
line:d8cc8048	Most people do!	Comme la plupart des gens !
line:3d723db0	Must mean you two are a good match.	Cela doit signifier que vous allez bien ensemble.
line:9ca994a5	My bad	C'est ma faute.
line:aaecba3d	My bad	C'est ma faute.
line:fedbf70c	My colleague, professor Igwyx, wished to use me as a platform.	Mon collègue, le professeur Igwyx, souhaitait se servir de moi comme plateforme.
line:08af3902	My date with Ryan was...	Mon rendez-vous avec Ryan était...
line:116b5405	My date with Ryan was...	Mon rendez-vous avec Ryan était...
line:e26c3b65	My first ever Yarn script in Unity!	Mon tout premier script Yarn dans Unity !
line:f15b014f	My names Ryan. So...	Je m'appelle Ryan. Alors...
line:e4aced7b	My students could learn a thing or two from your work ethic!	Mes étudiants pourraient s'inspirer de votre conscience professionnelle !
line:dfe74420	My-	Oh, ciel...
line:9b915bf2	Nah.	Non.
line:c3642dec	Nah.	Non.
line:393c128a	Never cleaned a teacher dragon... woah.	Je n'ai jamais lavé un dragon maître d'école... Ouah.
line:a99b03ed	Never tried it.	Je n'ai jamais essayé.
line:6df809e1	Nevermind. Could you get the gate?	Laisse tomber. Tu peux ouvrir le portail ?
line:d3a50f3f	Next time I come in for a wash we'll go.	On ira la prochaine fois que je viendrai me faire laver.
line:ac5afd96	Next time I come in I'll have reservations!	La prochaine fois que je viens, j'aurai réservé !
line:8990fcc9	Nice! Whats with all the... Gloop?	Super ! C'est quoi, toute cette... mélasse ?
line:1d4b8528	Nice. Gotta open the gate though. Let Conrad in!	Bien. Mais faut ouvrir le portail. Fais entrer Conrad !
line:acab92d4	Nnf... I believe I needed that. Thank you.	Nnf... Je crois que j'en avais besoin. Merci.
line:8fe11008	Nnnf... That was way better than those berries.	Nnnf... C'était bien mieux que ces baies.
line:b251704a	No	Non.
line:e05c2dca	No	Non.
line:dc86c2de	no	Non
line:5794ea87	No amount of justification makes it feel good though.	Mais j'ai beau avoir toutes les raisons du monde, ça fait quand même mal.
line:5a5ec440	No I actually just got it	Non, en fait, je viens de le recevoir.
line:cd5f07ca	No more excuses.	Fini les excuses.
line:4b38230f	No need for thanks. I'll get the gate.	Pas besoin de me remercier. Je vais ouvrir.
line:11604fbd	No need to be nervous, Alexander!	Pas besoin d'être nerveux, Alexander !
line:eefef647	No need to be.	Vous n'avez pas à avoir honte.
line:73ea230a	No no, you're a certified cleaner yeah?	Non, non. T'as ton diplôme de laveur, ouais ?
line:743c64e6	No not really.	Non, pas vraiment.
line:50feefe8	No problem!	Pas de problème !
line:1a9a36e1	No problem! Can't wait for you to meet Conrad.	De rien ! J'ai hâte que tu rencontres Conrad.
line:0a9993d2	No problem, thanks!	Pas de problème, merci !
line:10bdb3a4	No problem, thanks!	Pas de problème, merci !
line:3a8f65fa	No problem.	Pas de problème.
line:ee3d0ee4	No problem. Let me get that gate for ya'!	Aucun problème. Je vous ouvre le portail !
line:eedccaec	No way.	Impossible.
line:f0351f0c	No way.	Impossible.
line:d726f776	No worries,	Pas de souci,
line:12b7a5b3	No! I mean, yes, but for the sake of my reputation could you please keep my incursion here to yourself.	Non ! Enfin, oui, mais pour ma réputation, pourriez-vous garder ma venue ici pour vous ?
line:f7f963e3	No, I am.	Si, je le suis.
line:54faa7c0	No, I don't think I do.	Non, je ne crois pas.
line:38419d8b	No, it's not. No more excuses.	Si, c'est grave. Fini les excuses.
line:cd9b2a8f	No, thank you. I'm... Really excited.	Non, merci à toi. J'ai... vraiment hâte.
line:1af1ad05	No, we don't offer things like that here.	Non, on ne propose pas ce genre de services ici.
line:cb7e94e5	no.	Non.
line:6128a09c	No. A lime that is yellow.	Non. Un citron vert qui est jaune.
line:de25dacd	No. I'm not. Do you have a medkit or not?	Non. Ça va pas. T'as une trousse de secours ou pas ?
line:1cc64bcf	No.. No it's fine... thank you.	Non... Non, ça va... Merci.
line:525f5744	Nope	Non.
line:fbd2c3e7	Nope.	Non.
line:5406ba8e	Normally I'd say yes to a mount. But, not right now.	D'habitude, je dirais oui au chevalet. Mais pas maintenant.
line:ab92da6a	Not anymore at least!	En tout cas, plus maintenant !
line:0cfcd179	Not for a date though.	Mais pas pour un rendez-vous.
line:d1b90e2c	Not sure yet.	Je ne sais pas encore.
line:e9643b5d	Not yet.	Pas encore.
line:326cc84d	Not yet. a little longer.	Pas encore. Un peu plus longtemps.
line:56a729f6	Nothing more attractive than a man who can improve!	Rien de plus attirant qu'un homme capable de s'améliorer !
line:b5dabf9f	Nothing more attractive than a man who can improve!	Rien de plus attirant qu'un homme capable de s'améliorer !
line:8a321997	Now I'm eyeballing the mount...	Maintenant, je lorgne sur le chevalet...
line:5e0a6d7a	Now I'm out here, agh!	Et me voilà dehors, argh !
line:564a9606	Now they'll never need to know!	Maintenant, ils n'auront jamais besoin de le savoir !
line:d66b7986	Now!	Bon !
line:63596bb3	Now, do you have a medkit or not?	Bon, t'as une trousse de secours ou pas ?
line:eefc4e9f	Now, lemme in! I want to try that thing out!	Allez, laisse-moi entrer ! Je veux essayer ce truc !
line:0554966a	Now, more food?	Alors, on continue à manger ?
line:3fb3f8d4	Now, round two!	Maintenant, deuxième manche !
line:12e6043e	Now... Food?	Alors... On mange ?
line:5f8b2de4	oah. <size=70%>okay.	Oh. <size=70%>D'accord.
line:13223129	Of course	Bien sûr.
line:283e56d8	Of course I am! I know I'm very...	Évidemment ! Je sais que je suis très...
line:5788e15c	Of course I do. I'm a <i>professional</i>.	Évidemment. Je suis un <i>professionnel</i>.
line:0b226939	Of course it is!	Bien sûr que non !
line:f21dd9d4	Of course it is!	Bien sûr que oui !
line:642255fc	Of course!	Bien sûr !
line:76f8c20c	Of course!	Bien sûr !
line:877aced7	Of course!	Bien sûr !
line:d2401e75	Of course!	Bien sûr !
line:f9eb2b4a	Of course! Right this way!	Bien sûr ! Par ici !
line:0d20d327	Of course! Thank you for the food.	Bien sûr ! Merci pour le repas.
line:4da976f5	Of course! You run a fine establishment.	Bien sûr ! Vous tenez un excellent établissement.
line:b629bcf2	Of course! You're wonderful.	Bien sûr ! Vous êtes merveilleux.
line:b6c96475	Of course, you run a fine establishment.	Bien sûr, vous tenez un excellent établissement.
line:dd082478	Of course.	Bien sûr.
line:203cc3d2	Of course. One moment!	Bien sûr. Un instant !
