# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Siema, duży piesku.
line:9aa97614	I'll need this to be swift, students won't teach themselves.	Będę potrzebował szybkiej obsługi. Studenci sami się nie nauczą.
line:9ef857c8	I'll need to resurrect Igwix, oh how embarrassing!	Muszę wskrzesić Igwixa. Ależ wstyd!
line:90a9a98e	I'll see you next time I come in, yeah?	Do zobaczenia przy następnej wizycie, dobrze?
line:d0f6a49a	I'll see you next time I come in, yeah?	Do zobaczenia przy następnej wizycie, dobrze?
line:160bf40f	I'll start prepping for it.	Zacznę wszystko przygotowywać.
line:8af64cb8	I'll take care of this, don't you worry.	Zajmę się tym, nie martw się.
line:e20c6391	I'll tell you in a bit. Could you just get the gate for now?	Zaraz ci opowiem. Na razie możesz po prostu otworzyć bramę?
line:04c62f9b	I'm <i>spotless</i>.	Jestem <i>nieskazitelnie czysty</i>.
line:629f8cff	I'm a bit of a big deal around there.	Trochę tam ze mnie ważniak.
line:d9272031	I'm a dragon.	Jestem smokiem.
line:675e7284	I'm a rule breaker!	Lubię łamać zasady!
line:afcd5586	I'm a... kobold.	Jestem... koboldem.
line:5d41b5d6	I'm all dirty still!	Nadal jestem brudny!
line:2f6eb3c3	I'm all soapy still!	Nadal jestem cały w mydle!
line:18707b19	I'm always happy to give you a wash!	Zawsze chętnie cię umyję!
line:3b01eb3b	I'm always happy to give you a wash!	Zawsze chętnie cię umyję!
line:d82b1a7d	I'm always happy to help. <i><size=70%> especially a big dragon.	Zawsze chętnie pomogę. <i><size=70%>Zwłaszcza dużemu smokowi.
line:46c6a3ed	I'm always happy to see you Ryan.	Zawsze miło cię widzieć, Ryan.
line:75206eee	I'm always happy to see you Ryan.	Zawsze miło cię widzieć, Ryan.
line:fa6e232e	I'm always happy to see you. I'll go get the gate for you.	Zawsze miło pana widzieć. Otworzę panu bramę.
line:07e5fc05	I'm amazed!	Jestem pod wrażeniem!
line:4586d55d	I'm an asshole. I know I am.	Jestem dupkiem. Wiem o tym.
line:a6d46685	I'm certain he also finds you pleasant!	Jestem pewien, że on również pana lubi!
line:ef399e26	I'm doing good!	Dobrze się mam!
line:a6c1f2f4	I'm excited for you!	Cieszę się razem z tobą!
line:94fbdbf0	I'm excited for you. I'll get the gate!	Cieszę się razem z tobą. Otworzę bramę!
line:f83e4966	I'm excited to hear about it!	Nie mogę się doczekać!
line:bd55b8f4	I'm excited to see them washing down the drain though.	Ale też chcę zobaczyć, jak spływają do odpływu.
line:24832f01	I'm excited.	Nie mogę się doczekać.
line:69f406a6	I'm excited.	Nie mogę się doczekać.
line:a00f681d	I'm excited.	Nie mogę się doczekać.
line:a0479425	I'm excited.	Nie mogę się doczekać.
line:b5d7d26f	I'm excited.	Nie mogę się doczekać.
line:d66b9155	I'm excited.	Nie mogę się doczekać.
line:4e1b1d0a	I'm glad you derive enjoyment from this as well.	Cieszę się, że panu również sprawia to przyjemność.
line:5db47405	I'm glad you enjoy him. I'm certain he finds you pleasant.	Cieszę się, że go pan lubi. Jestem pewien, że z wzajemnością.
line:c56ee060	I'm glad you enjoy my crest.	Cieszę się, że podoba się panu mój herb.
line:f44a1493	I'm glad you trust me.	Cieszę się, że mi pan ufa.
line:3a2ed5ef	I'm glad you two are working out though.	W każdym razie cieszę się, że wam się układa.
line:c0972e81	I'm glad you two are working out.	Cieszę się, że wam się układa.
line:34ba77b1	I'm glad you were able to make the choice that was best for you.	Cieszę się, że zdołałeś podjąć najlepszą dla siebie decyzję.
line:d5a90e1c	I'm glad!	Cieszę się!
line:286fec49	I'm glad.	Cieszę się.
line:42f5fd9d	I'm glad.	Cieszę się.
line:99b6dc81	I'm glad.	Cieszę się.
line:570d4953	I'm happy for you!	Cieszę się waszym szczęściem!
line:ac6d5bd3	I'm happy for you!	Cieszę się waszym szczęściem!
line:ed5c40ca	I'm happy for you!	Cieszę się waszym szczęściem!
line:79099951	I'm happy to be here too.	Ja też cieszę się, że tu jestem.
line:99fd9b51	I'm happy to give you a place you can relax.	Cieszę się, że ma pan tu miejsce, gdzie można odpocząć.
line:5d36d5c8	I'm happy to have met you.	Cieszę się, że pana poznałem.
line:ce21622a	I'm happy to hear that.	Miło mi to słyszeć.
line:69963a6c	I'm happy you feel comfy here.	Cieszę się, że dobrze się pan tu czuje.
line:38388248	I'm here for a wash.	Przyszedłem na mycie.
line:a6974256	I'm here if you need someone to talk to.	Jestem tutaj, jeśli chcesz z kimś porozmawiać.
line:6690512d	I'm impressed.	Jestem pod wrażeniem.
line:2e424b13	I'm in need of another wash.	Potrzebuję kolejnego mycia.
line:ef91a572	I'm Jealous!	Zazdroszczę!
line:a79b8639	I'm just happy I don't feel judged here.	Po prostu cieszę się, że nikt mnie tu nie ocenia.
line:8076eb95	I'm just here for a wash though.	Ale przyszedłem tylko na mycie.
line:c2caa0b7	I'm just here to bring you food!	Przyszedłem tylko przynieść ci jedzenie!
line:ec6c7823	I'm just... Happy.	Po prostu... się cieszę.
line:ed4b0d48	I'm kind of excited.	Nawet się cieszę.
line:266c652e	I'm looking forward to seeing you again	Czekam na kolejne spotkanie.
line:e91e2041	I'm not <i>that</i> little-	Nie jestem <i>aż taki</i> mały...
line:cf05a364	I'm not certain why I suddenly understand your 'Yips'	Nie wiem, dlaczego nagle rozumiem pańskie „yipy”.
line:dcc4774b	I'm not too sure. It was on sale at WingCo.	Nie jestem pewien. Było na promocji w WingCo.
line:5b31909a	I'm only doing what I think is right.	Robię tylko to, co uważam za słuszne.
line:7fe349d7	I'm profoundly embarrassed by this whole ordeal.	Jestem głęboko zawstydzony tym całym zajściem.
line:cfaffc52	I'm pumped.	Ale się jaram.
line:c0a140f8	I'm really fond of letting folks ride on my back.	Bardzo lubię wozić innych na grzbiecie.
line:1a5e6184	I'm really looking forward to this.	Naprawdę nie mogę się doczekać.
line:8b43a434	I'm really sorry you got hurt. Who did this?	Bardzo mi przykro, że cię skrzywdzono. Kto to zrobił?
line:69ffe957	I'm so excited about this date!	Tak się cieszę na tę randkę!
line:e6290003	I'm so excited. I'll get you two in contact!	Ale się cieszę. Skontaktuję was!
line:e8611ad0	I'm sorry for dumping that all on you earlier.	Przepraszam, że wcześniej tyle ci nagadałem.
line:e613b1c3	I'm sorry I snapped at you earlier.	Przepraszam, że wcześniej na ciebie warknąłem.
line:de208e68	I'm sorry you got hurt...	Przykro mi, że cię skrzywdzono...
line:4843bb47	I'm still very muddy, if you could soap me up that'd be great.	Nadal mam sporo błota. Byłoby dobrze mnie namydlić.
line:51d4e418	I'm such an idiot.	Ale ze mnie idiota.
line:32114891	I'm sure nobody will know...	Na pewno nikt się nie dowie...
line:17a05c96	I'm sure we'll figure something out! just meet me at the pier!	Na pewno coś wymyślimy! Spotkajmy się na molo!
line:8136ef1a	I'm surprised how nice it is.	Dziwię się, że to takie przyjemne.
line:722c6ab2	I'm thinking a date soon.	Myślę o randce wkrótce.
line:3471e9b1	I'm trying my best.	Staram się, jak mogę.
line:01492e5e	I'm trying not to be pushy.	Próbuję się nie narzucać.
line:4d6cd625	I'm trying to get away from the house for a bit.	Próbuję na trochę wyrwać się z domu.
line:c1ef777a	I'm unsure why speaking with you is so easy.	Nie wiem, dlaczego tak łatwo mi z panem rozmawiać.
line:822c0718	I'm very excited.	Bardzo się cieszę.
line:ddab3d34	I'm very satisfied with these results..	Jestem bardzo zadowolony z efektów..
line:03eb977c	I'm well aware. A deep clean has a distinct feel!	Dobrze wiem. Dokładne mycie daje szczególne uczucie!
line:f9193c0d	I'm willing to do it. But I'd like something new.	Chcę spróbować. Ale przydałoby mi się coś nowego.
line:63981253	I'm... Happy.	Jestem... szczęśliwy.
line:f80bd44b	I'm... not certain I'd like to use this today.	Nie... jestem pewien, czy chcę dziś tego używać.
line:d422462e	I'm... not sure I can answer that for you.	Nie... jestem pewien, czy mogę odpowiedzieć za ciebie.
line:8f107933	I'm... Rather close now	Jestem... już dość blisko.
line:24c52c54	I'm... wondering...	Tak... myślę...
line:6bbd7f1d	I've always hated the rain.	Zawsze nie znosiłem deszczu.
line:b4353808	I've always loved giving my biped friends rides...	Zawsze lubiłem wozić dwunożnych przyjaciół...
line:9541fceb	I've been considering asking you this for a while now.	Od pewnego czasu zastanawiałem się, czy pana zapytać.
line:505154a4	I've been thinking...	Zastanawiałem się...
line:58b4f5fb	I've been told it's polite to talk to smaller folk face to face.	Podobno uprzejmie jest rozmawiać z mniejszymi twarzą w twarz.
line:2c560e29	I've been trying to get into the social sciences aswell.	Próbuję też zainteresować się naukami społecznymi.
line:b4a29141	I've got a guy who can drop a gift by tomorrow that would spruce things up.	Znam gościa, który jutro może podrzucić prezent i trochę tu ożywić.
line:212f0021	I've had a lot of free time lately.	Ostatnio mam sporo wolnego czasu.
line:701b9feb	I've had a lot of free time lately.	Ostatnio mam sporo wolnego czasu.
line:79da763f	I've had a lot of free time lately.	Ostatnio mam sporo wolnego czasu.
line:3c4443fd	I've seen bigger	Widziałem większe.
line:d7a90078	I...	Ja...
line:393d0e05	I... hm.	Ja... Hm.
line:0da5609b	I... Know this is unprompted.	Wiem... że mówię to tak nagle.
line:5cfb94b9	If a relationship is <i>so</i> bumpy and you know its going to end.	Jeśli w związku jest <i>tak</i> ciężko i wiesz, że to się skończy.
line:b2f52b23	If I could uhm...	Czy mógłbym, eee...
line:b4990e3d	If I'm honest. I've had a crush on you for a bit.	Szczerze mówiąc, podobasz mi się od jakiegoś czasu.
line:7c13c28e	If only.	Gdyby tylko.
line:a56c5621	If someone like Ryan is interested, you're doing great.	Jeśli interesuje się tobą ktoś taki jak Ryan, świetnie ci idzie.
line:52f28749	If we're caught violating another policy my reputation would be in ruins!	Jeśli przyłapią nas na kolejnym naruszeniu przepisów, moja reputacja legnie w gruzach!
line:83f511d2	If ya' place the mount for me I'll have at it.	Postaw mi przyrząd, to się nim zajmę.
line:7ead92b1	If you could come up front so I could talk.	Mógłbyś podejść z przodu, żebyśmy pogadali?
line:e78656aa	If you could come up to where I can see you.	Podejdziesz tak, żebym cię widział?
line:9a013329	If you wanna talk about it more, I've got a minute.	Jeśli chcesz jeszcze porozmawiać, mam chwilkę.
line:3d014153	If you want to use it that's fine!	Jeśli chce pan go użyć, nie ma problemu!
line:a9eb9a76	if you're seeing this please grab nael or submit a bug report	Jeśli to widzisz, powiadom Naela lub zgłoś błąd.
line:b9ab4eed	Im not complaining though.	Ale nie narzekam.
line:27340362	In a bad way?	W złym sensie?
line:2019bb85	In a good way?	W dobrym sensie?
line:91d5fb72	Incredible!	Niesamowite!
line:61c8781b	Indeed! You're the only kobold I wish to wash me now.	Zaiste! Teraz chcę, by mył mnie tylko pan.
line:a5979ac9	Indeed, you must know of my crest! I teach alchemy.	Zgadza się, zapewne rozpoznał pan mój herb! Uczę alchemii.
line:dd9d30d2	Indeed. I'm glad you were able to help.	Zaiste. Cieszę się, że mógł pan pomóc.
line:fd5ddfcb	Indeed. You're an excellent person to be around.	Zaiste. Znakomicie się przebywa w pańskim towarzystwie.
line:78c9b5cc	Is everything okay?	Wszystko w porządku?
line:bea8f1f7	Is something on your mind?	Coś cię trapi?
line:6b6dd8bc	Is that a good thing...?	To dobrze...?
line:848727f2	Is that a threat...?	To groźba...?
line:db302830	Is that why you came in the first time?	Dlatego przyszedłeś za pierwszym razem?
line:00e41343	Is this good?	Dobrze tak?
line:7982d3d8	Is this the right place?	Dobrze trafiłem?
line:c48f59a9	Is this the right place?	Dobrze trafiłem?
line:b05f6eea	Isn't that... Wood?	To nie jest... drewno?
line:bf137cb4	It arrived this morning, it should be near the gate.	Przyjechał rano, powinien być przy bramie.
line:5080b6dd	It depends! Dragon thing.	To zależy! Smocza rzecz.
line:34cf0601	It did! Thanks for asking.	Tak! Dzięki, że pytasz.
line:900dca3c	It does wonders.	Czyni cuda.
line:cfd504c5	It does wonders.	Czyni cuda.
line:ac13bf68	It is indeed rather cool.	Istotnie, jest całkiem fajnie.
line:ea445b46	It is rather novel isn't it?	To dość nowe doświadczenie, prawda?
line:56d34a41	It is? Good to know...	Naprawdę? Dobrze wiedzieć...
line:b058318f	It means you're doing a good job in kobold.	To po koboldzku znaczy, że dobrze ci idzie.
line:13c906c7	It really has been. You're wonderful.	Naprawdę było. Jesteś wspaniały.
line:b032bfb1	It turns out baking is messy!	Okazuje się, że przy pieczeniu można się ubrudzić!
line:da4f12a1	It turns out baking is messy!	Okazuje się, że przy pieczeniu można się ubrudzić!
line:e106207b	It turns out baking is messy!	Okazuje się, że przy pieczeniu można się ubrudzić!
line:e0c8c57b	It was good. We had sex.	Dobrze. Uprawialiśmy seks.
line:681117ec	It was great. Conrad is wild. Good wild.	Świetnie. Conrad jest szalony. W dobrym sensie.
line:28eee9f5	It went great!	Było świetnie!
line:92bfe06c	It went great!	Było świetnie!
line:a5d2b991	It went well.	Było dobrze.
line:1ab5969b	It would be a... date. As most would say.	Byłaby to... randka. Jak się zwykło mówić.
line:8440a3f4	It's a regrettable state I find myself in...	Mój stan jest godny pożałowania...
line:1706e86d	It's also new to me...	Dla mnie też to nowe...
line:c1b8e62b	It's always good when a kobold knows what they like.	Dobrze, kiedy kobold wie, co lubi.
line:deffce5c	It's crazy how much your neck can handle.	To niesamowite, ile pomieści twoja szyja.
line:2e182063	It's difficult to find folks that are outside of my current bubble.	Trudno znaleźć ludzi spoza mojego obecnego kręgu.
line:48cfc92b	It's endearing!	To rozczulające!
line:5b6f00bd	It's fine.	Nic się nie stało.
line:13dc0f15	It's fine. I close in about an hour.	Nie szkodzi. Zamykam za jakąś godzinę.
line:23ac92c8	It's freeing. I'll be back, yeah?	To wyzwalające. Wrócę, dobrze?
line:de9fdb93	It's hard to hold back..	Trudno się powstrzymać..
line:9ebea3d0	It's hard to not be nervous after everything...	Trudno się nie denerwować po tym wszystkim...
line:ec8243d8	It's interesting; you bipeds tend to savor your meals.	To ciekawe, wy dwunożni lubicie delektować się posiłkami.
line:d50cb509	It's just that something happened to Conrad, I hope he's okay.	Po prostu coś stało się Conradowi. Mam nadzieję, że nic mu nie jest.
line:bee6c7dd	It's just that...	Po prostu...
line:3b76093c	It's made for eating things whole.	Jest stworzona do połykania rzeczy w całości.
line:19f36dc0	It's my dream.	To moje marzenie.
line:18db795f	It's never easy to end things.	Nigdy nie jest łatwo zakończyć związek.
line:049fb01f	It's nice to have friends to rely on.	Dobrze mieć przyjaciół, na których można polegać.
line:ed69e3a1	It's nice to relinquish control, even for a moment.	Miło oddać kontrolę, choćby na chwilę.
line:e9d34ea0	It's no biggie. It sounds like everyone is fine.	Nic wielkiego. Wygląda na to, że wszyscy są cali.
line:7e511da7	It's okay!	Nic się nie stało!
line:b14d8520	It's okay, you sound like you need it.	Nie szkodzi, chyba tego potrzebujesz.
line:50b95260	It's okay. I needed to. She wasn't making me happy.	W porządku. Musiałem. Nie byłem z nią szczęśliwy.
line:47455767	It's okay. I'll figure something out.	W porządku. Coś wymyślę.
line:9287c933	It's starting to feel like it's <i>my</i> fault.	Zaczynam mieć wrażenie, że to <i>moja</i> wina.
line:7ab244af	It's the best way to enjoy food.	To najlepszy sposób na cieszenie się jedzeniem.
line:0b7589ff	It's the mount you asked for.	To przyrząd, o który prosiłeś.
line:a5780e74	It's wonderful to be back!	Wspaniale tu wrócić!
line:649e8eb3	Its a nice get away from everything out there.	Miło oderwać się od wszystkiego tam na zewnątrz.
line:d0361dd9	Its like an equine fusion thing...	Taka kuchnia fusion koniowatych...
line:df86a610	Jokes aside, your wash is definitely the best.	Żarty żartami, ale twoja myjnia jest najlepsza.
line:7fe40d2b	Just a rough day. Hoping this helps!	Po prostu ciężki dzień. Mam nadzieję, że to pomoże!
line:ce77a00e	Just did!	Właśnie skończyłem!
line:7c93c604	Just doing my job!	Po prostu robię swoje!
line:fa0a9fbb	Just having fun.	Po prostu się bawię.
line:9e9425cd	Just possibly...	Ewentualnie...
line:1d73a343	Just some drake at the bar. Was stupid... Couldn't shut my mouth.	Jakiś smok w barze. Byłem głupi... Nie umiałem zamknąć pyska.
line:ecb9a15d	Just touch me with your hand and I'll try to help.	Po prostu dotknij mnie ręką, a spróbuję pomóc.
line:14209365	Just uhm... Don't tell anyone I'm saying all this.	Tylko, eee... Nie mów nikomu, że to wszystko mówię.
line:3bac1dad	Just... open the gate.	Po prostu... otwórz bramę.
line:4f826403	Keep going a little longer please	Jeszcze chwilkę, proszę.
line:087039ba	Keep going.	Nie przestawaj.
line:d8f92323	Kinda! I've been getting out more.	Trochę! Częściej wychodzę.
line:b965b4dd	Knock that off, we're not done yet. Right?	Przestań, jeszcze nie skończyliśmy. Prawda?
line:d9d276bb	Kobolds always seem enamored by me eating.	Koboldy zawsze wydają się zafascynowane tym, jak jem.
line:0274cacd	Kobolds are very flexible. It will fit.	Koboldy są bardzo elastyczne. Zmieści się.
line:20cb68b9	lemme in?	Wpuścisz mnie?
line:41d5085a	Let go whenever you are ready.	Proszę sobie pozwolić, kiedy będzie pan gotowy.
line:29a77d09	Let me give it a try!	Daj spróbować!
line:265e14cb	Let me know when you're finished rinsing.	Proszę powiedzieć, gdy skończy pan spłukiwać.
line:0e1fd4b0	Let the <i>big C</i> out of this place!	Wypuść stąd <i>wielkiego C</i>!
line:f7382398	Let's get going~!	No to zaczynamy~!
line:c50535b3	Let's have it!	Dawaj wszystko!
line:9accd60e	Lets wash it off for our date tonight then.	To zmyjmy to przed naszą dzisiejszą randką.
line:7ce1b833	Like what?	Jak?
line:cb91e703	Like, I love those around me, but there's a lot of baggage there.	Lubię bliskich, ale wiąże się z nimi spory bagaż.
line:aa1c54ab	Like, in general.	Tak ogólnie.
line:bbe51f87	Like, in general.	Tak ogólnie.
line:7b7b0a3f	Like, the future of my relationships.	O tym, jak będą wyglądać w przyszłości.
line:db79a905	Like... a lemon?	Czyli... cytryna?
line:ffd7dcc4	Like... An asshole? I know I'm miserable to be around.	Jak... dupek? Wiem, że ciężko ze mną wytrzymać.
line:a0a0a49c	Like... sexual stuff?	W sensie... coś seksualnego?
line:9becd177	Look at me! I'll be the laughing stock of my students.	Proszę na mnie spojrzeć! Studenci mnie wyśmieją.
line:9711cf03	Lookin' for a hose down. Wouldn't mind using the mount aswell.	Przyda mi się spłukanie. I chętnie użyję przyrządu.
line:abdb5822	Looking forward to seeing ya'	Nie mogę się doczekać kolejnej wizyty.
line:5c335985	Looking forward to seeing you soon.	Z niecierpliwością czekam na kolejne spotkanie.
line:1d0abc80	Looking forward to the wash.	Czekam z przyjemnością na mycie.
line:646279a0	Looks like it.	Na to wygląda.
line:b6093881	Looks like ya' got a shipment, eh?	Widzę, że była dostawa, co?
line:f1fc3e3c	Luckily death via spontaneous combustion is a concept we have thoroughly curtailed in the modern world.	Na szczęście śmierć wskutek samozapłonu to zjawisko, które mocno ograniczyliśmy we współczesnym świecie.
line:d2ba8ba9	Made a bit of a mess... Still worth it.	Trochę nabrudziłem... I tak było warto.
line:301e8665	Make haste! My reputation is on the line.	Proszę się pospieszyć! Moja reputacja jest zagrożona.
line:5072cc60	Make sure you're very clean. <size=70%><i>hehe.	Zadbaj, żebyś był czyściutki. <size=70%><i>Hehe.
line:da21cf49	Makes sense! Yeah tiny drakes are fun.	To ma sens! Tak, małe smoki są fajne.
line:22b2643b	Makes sense.	To zrozumiałe.
line:e7f0e9ed	Makes sense.	To zrozumiałe.
line:89c9a73b	Many think it's part of my body.	Wielu sądzi, że jest częścią mojego ciała.
line:d7bcbe29	Max says I'm a clumsy dragon,	Max mówi, że jestem niezdarnym smokiem.
line:db986d0d	May you open the gate?	Czy mógłby pan otworzyć bramę?
line:76a97730	Maybe later...?	Może później...?
line:08a422ba	Maybe like...	Może tak...
line:6f293b7a	Maybe someone new...	Może ktoś nowy...
line:d2558a04	Maybe someone?	Może kogoś?
line:67a46ddc	Maybe we can hang out later?	Może spędzimy później trochę czasu razem?
line:5691478f	Maybe we could just... Walk?	Może po prostu... spacer?
line:7734bf93	Me too, thanks!	Ja też, dzięki!
line:627a13e4	Me too.	Ja też.
line:d3c733f5	Me too.	Ja też.
line:ffa63d1b	Me too.	Ja też.
line:040ee2a7	me too.	Ja też.
line:d13cd125	Me.	Sobą.
line:14e7b293	Me?	Ja?
line:b9cb051a	Means I'm ready to go on a date with a certain kobold.	To znaczy, że jestem gotów na randkę z pewnym koboldem.
line:e5da247d	Means you know how to get hands on!	Czyli wiesz, jak popracować rękami!
line:171707d2	Mhm!	Mhm!
line:11306335	Mhm! Come back anytime.	Mhm! Wpadaj, kiedy chcesz.
line:69dd6a73	Mhm! he's trying to meet new people.	Mhm! Próbuje poznawać nowe osoby.
line:da17b746	Mhm! I'm <i>the</i> kobold!	Mhm! To ja jestem <i>tym</i> koboldem!
line:a0cb3f78	Mhm! that's him.	Mhm! To on.
line:164fdb01	Mhm, he's trying.	Mhm, stara się.
line:1a663dcf	Mhm, right this way.	Mhm, tędy.
line:3cd8a8bd	Mhm... Thank you.	Mhm... Dziękuję.
line:4546abce	Might seem kinda weird to ask now. Buuuut.	Może dziwnie pytać teraz. Aaaale...
line:57d8b72a	Mind opening the gate to let me out?	Otworzysz bramę, żebym mógł wyjść?
line:b2a507ab	Mind opening the gate to let me out?	Otworzysz bramę, żebym mógł wyjść?
line:6d726280	Mind washing more?	Umyjesz mnie jeszcze trochę?
line:c8281b83	Mmm, I understand that to mean you'll get the gate?	Mmm, mam rozumieć, że otworzy pan bramę?
line:dd0c77ae	Mmm, Yeah I know the type.	Mmm, tak, znam ten typ.
line:d8cafcc7	mmm..	Mmm...
line:729cea0c	Mmmhm, I always do my best.	Mhm, zawsze daję z siebie wszystko.
line:f36b8b76	Mmmhm. I'll work on my sleep schedule...	Mmmhm. Popracuję nad porami snu...
line:d38efb75	Mmmmhm, gotta prep for a date with him.	Mmmhm, muszę się przygotować na randkę z nim.
line:a78dd44b	mmph! (Yea!)	Mmph! (Tak!)
line:b132719c	Mmph- Hm?	Mmph... Hm?
line:16ee6b14	Money... mmm...	Pieniądze... Mmm...
line:d8cc8048	Most people do!	Większość lubi!
line:3d723db0	Must mean you two are a good match.	To zapewne znaczy, że do siebie pasujecie.
line:9ca994a5	My bad	Mój błąd.
line:aaecba3d	My bad	Mój błąd.
line:fedbf70c	My colleague, professor Igwyx, wished to use me as a platform.	Mój kolega, profesor Igwyx, chciał użyć mnie jako podestu.
line:08af3902	My date with Ryan was...	Moja randka z Ryanem była...
line:116b5405	My date with Ryan was...	Moja randka z Ryanem była...
line:e26c3b65	My first ever Yarn script in Unity!	Mój pierwszy skrypt Yarn w Unity!
line:f15b014f	My names Ryan. So...	Mam na imię Ryan. Więc...
line:e4aced7b	My students could learn a thing or two from your work ethic!	Moi studenci mogliby się od pana uczyć pracowitości!
line:dfe74420	My-	O rety...
line:9b915bf2	Nah.	Nie.
line:c3642dec	Nah.	Nie.
line:393c128a	Never cleaned a teacher dragon... woah.	Nigdy nie myłem smoka nauczyciela... Ojej.
line:a99b03ed	Never tried it.	Nigdy nie próbowałem.
line:6df809e1	Nevermind. Could you get the gate?	Nieważne. Otworzysz bramę?
line:d3a50f3f	Next time I come in for a wash we'll go.	Pójdziemy, gdy następnym razem przyjdę się umyć.
line:ac5afd96	Next time I come in I'll have reservations!	Następnym razem przyjdę już z rezerwacją!
line:8990fcc9	Nice! Whats with all the... Gloop?	Super! Co to za... maź?
line:1d4b8528	Nice. Gotta open the gate though. Let Conrad in!	Dobra. Tylko otwórz bramę. Wpuść Conrada!
line:acab92d4	Nnf... I believe I needed that. Thank you.	Nnf... Chyba tego potrzebowałem. Dziękuję.
line:8fe11008	Nnnf... That was way better than those berries.	Nnnf... Dużo lepsze niż te jagody.
line:b251704a	No	Nie.
line:e05c2dca	No	Nie.
line:dc86c2de	no	Nie
line:5794ea87	No amount of justification makes it feel good though.	Ale żadne uzasadnienie nie sprawia, że mniej boli.
line:5a5ec440	No I actually just got it	Nie, dopiero go dostałem.
line:cd5f07ca	No more excuses.	Koniec wymówek.
line:4b38230f	No need for thanks. I'll get the gate.	Nie ma za co. Otworzę bramę.
line:11604fbd	No need to be nervous, Alexander!	Nie musi się pan denerwować, Alexandrze!
line:eefef647	No need to be.	Nie ma powodu.
line:73ea230a	No no, you're a certified cleaner yeah?	Nie, nie. Masz uprawnienia do mycia, co?
line:743c64e6	No not really.	Nie, niezupełnie.
line:50feefe8	No problem!	Nie ma sprawy!
line:1a9a36e1	No problem! Can't wait for you to meet Conrad.	Nie ma sprawy! Nie mogę się doczekać, aż poznasz Conrada.
line:0a9993d2	No problem, thanks!	Nie ma sprawy, dzięki!
line:10bdb3a4	No problem, thanks!	Nie ma sprawy, dzięki!
line:3a8f65fa	No problem.	Nie ma sprawy.
line:ee3d0ee4	No problem. Let me get that gate for ya'!	Nie ma sprawy. Już otwieram panu bramę!
line:eedccaec	No way.	Niemożliwe.
line:f0351f0c	No way.	Niemożliwe.
line:d726f776	No worries,	Nie szkodzi,
line:12b7a5b3	No! I mean, yes, but for the sake of my reputation could you please keep my incursion here to yourself.	Nie! To znaczy tak, ale przez wzgląd na moją reputację proszę zachować moją wizytę w tajemnicy.
line:f7f963e3	No, I am.	Ależ jestem.
line:54faa7c0	No, I don't think I do.	Nie, chyba nie.
line:38419d8b	No, it's not. No more excuses.	Właśnie że się stało. Koniec wymówek.
line:cd9b2a8f	No, thank you. I'm... Really excited.	Nie, to ja dziękuję. Jestem... naprawdę podekscytowany.
line:1af1ad05	No, we don't offer things like that here.	Nie, nie oferujemy takich usług.
line:cb7e94e5	no.	Nie.
line:6128a09c	No. A lime that is yellow.	Nie. Limonka, która jest żółta.
line:de25dacd	No. I'm not. Do you have a medkit or not?	Nie. Nie jest dobrze. Masz apteczkę czy nie?
line:1cc64bcf	No.. No it's fine... thank you.	Nie... Nie, w porządku... Dzięki.
line:525f5744	Nope	Nie.
line:fbd2c3e7	Nope.	Nie.
line:5406ba8e	Normally I'd say yes to a mount. But, not right now.	Zwykle chętnie skorzystam z przyrządu. Ale nie teraz.
line:ab92da6a	Not anymore at least!	Przynajmniej już nie!
line:0cfcd179	Not for a date though.	Ale nie na randkę.
line:d1b90e2c	Not sure yet.	Jeszcze nie wiem.
line:e9643b5d	Not yet.	Jeszcze nie.
line:326cc84d	Not yet. a little longer.	Jeszcze nie. Trochę dłużej.
line:56a729f6	Nothing more attractive than a man who can improve!	Nic tak nie pociąga jak mężczyzna, który potrafi się poprawić!
line:b5dabf9f	Nothing more attractive than a man who can improve!	Nic tak nie pociąga jak mężczyzna, który potrafi się poprawić!
line:8a321997	Now I'm eyeballing the mount...	Teraz nie mogę oderwać oczu od przyrządu...
line:5e0a6d7a	Now I'm out here, agh!	I teraz stoję tu na zewnątrz, ach!
line:564a9606	Now they'll never need to know!	Teraz nigdy nie będą musieli wiedzieć!
line:d66b7986	Now!	A teraz!
line:63596bb3	Now, do you have a medkit or not?	Masz tę apteczkę czy nie?
line:eefc4e9f	Now, lemme in! I want to try that thing out!	No, wpuść mnie! Chcę to wypróbować!
line:0554966a	Now, more food?	To co, jeszcze trochę jedzenia?
line:3fb3f8d4	Now, round two!	Teraz druga runda!
line:12e6043e	Now... Food?	To co... Jedzenie?
line:5f8b2de4	oah. <size=70%>okay.	O. <size=70%>Dobrze.
line:13223129	Of course	Oczywiście.
line:283e56d8	Of course I am! I know I'm very...	No jasne! Wiem, że jestem bardzo...
line:5788e15c	Of course I do. I'm a <i>professional</i>.	Oczywiście. Jestem <i>profesjonalistą</i>.
line:0b226939	Of course it is!	Oczywiście, że nie!
line:f21dd9d4	Of course it is!	Oczywiście, że nie!
line:642255fc	Of course!	Oczywiście!
line:76f8c20c	Of course!	Oczywiście!
line:877aced7	Of course!	Oczywiście!
line:d2401e75	Of course!	Oczywiście!
line:f9eb2b4a	Of course! Right this way!	Oczywiście! Tędy!
