# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Hei, anjing besar.
line:956a0f47	I'll make sure to ask him next time I see him.	Pasti kutanyakan saat bertemu dengannya lagi.
line:e64d21e4	I'll make sure to come back.	Aku pasti akan kembali.
line:7c9fe106	I'll make sure to get out of your scales.	Aku tidak akan mengganggumu lagi.
line:87006442	I'll make sure to tell others about this place	Aku pasti akan merekomendasikan tempat ini ke orang lain.
line:1db78e06	I'll make sure to tell you how it goes, yeah?	Nanti pasti kuceritakan hasilnya, ya?
line:49b6a167	I'll make sure you're <i>spotless.	Akan kupastikan kamu <i>bersih sempurna.
line:96981b61	I'll manage.	Aku bisa melewatinya.
line:9aa97614	I'll need this to be swift, students won't teach themselves.	Saya perlu layanan yang cepat. Para mahasiswa tidak bisa mengajar diri sendiri.
line:9ef857c8	I'll need to resurrect Igwix, oh how embarrassing!	Saya perlu menghidupkan Igwix kembali. Memalukan sekali!
line:90a9a98e	I'll see you next time I come in, yeah?	Sampai bertemu saat aku datang lagi, ya?
line:d0f6a49a	I'll see you next time I come in, yeah?	Sampai bertemu saat aku datang lagi, ya?
line:160bf40f	I'll start prepping for it.	Aku akan mulai mempersiapkannya.
line:8af64cb8	I'll take care of this, don't you worry.	Aku akan mengurus ini. Jangan khawatir.
line:e20c6391	I'll tell you in a bit. Could you just get the gate for now?	Sebentar lagi kuceritakan. Sekarang bisa buka gerbangnya dulu?
line:04c62f9b	I'm <i>spotless</i>.	Saya <i>bersih sempurna</i>.
line:629f8cff	I'm a bit of a big deal around there.	Aku cukup dikenal di sana.
line:d9272031	I'm a dragon.	Aku naga.
line:675e7284	I'm a rule breaker!	Aku suka melanggar aturan!
line:afcd5586	I'm a... kobold.	Aku... kobold.
line:5d41b5d6	I'm all dirty still!	Aku masih kotor semua!
line:2f6eb3c3	I'm all soapy still!	Aku masih penuh sabun!
line:18707b19	I'm always happy to give you a wash!	Aku selalu senang memandikanmu!
line:3b01eb3b	I'm always happy to give you a wash!	Aku selalu senang memandikanmu!
line:d82b1a7d	I'm always happy to help. <i><size=70%> especially a big dragon.	Saya selalu senang membantu. <i><size=70%>Apalagi naga besar.
line:46c6a3ed	I'm always happy to see you Ryan.	Aku selalu senang bertemu denganmu, Ryan.
line:75206eee	I'm always happy to see you Ryan.	Aku selalu senang bertemu denganmu, Ryan.
line:fa6e232e	I'm always happy to see you. I'll go get the gate for you.	Saya selalu senang melihat Anda. Saya buka gerbangnya untuk Anda.
line:07e5fc05	I'm amazed!	Aku takjub!
line:4586d55d	I'm an asshole. I know I am.	Aku bajingan. Aku tahu itu.
line:a6d46685	I'm certain he also finds you pleasant!	Saya yakin dia juga menganggap Anda menyenangkan!
line:ef399e26	I'm doing good!	Saya baik-baik saja!
line:a6c1f2f4	I'm excited for you!	Aku ikut bersemangat untukmu!
line:94fbdbf0	I'm excited for you. I'll get the gate!	Aku ikut bersemangat. Aku buka gerbangnya!
line:f83e4966	I'm excited to hear about it!	Aku tidak sabar mendengarnya!
line:bd55b8f4	I'm excited to see them washing down the drain though.	Tapi aku juga tidak sabar melihatnya mengalir ke saluran pembuangan.
line:24832f01	I'm excited.	Aku bersemangat.
line:69f406a6	I'm excited.	Aku bersemangat.
line:a00f681d	I'm excited.	Aku bersemangat.
line:a0479425	I'm excited.	Aku bersemangat.
line:b5d7d26f	I'm excited.	Saya sangat menantikannya.
line:d66b9155	I'm excited.	Aku bersemangat.
line:4e1b1d0a	I'm glad you derive enjoyment from this as well.	Saya senang Anda juga menikmatinya.
line:5db47405	I'm glad you enjoy him. I'm certain he finds you pleasant.	Saya senang Anda menyukainya. Saya yakin dia menganggap Anda menyenangkan.
line:c56ee060	I'm glad you enjoy my crest.	Saya senang Anda menyukai lambang saya.
line:f44a1493	I'm glad you trust me.	Saya senang Anda memercayai saya.
line:3a2ed5ef	I'm glad you two are working out though.	Tapi aku senang hubungan kalian berjalan baik.
line:c0972e81	I'm glad you two are working out.	Aku senang hubungan kalian berjalan baik.
line:34ba77b1	I'm glad you were able to make the choice that was best for you.	Aku senang kamu bisa memilih yang terbaik untuk dirimu.
line:d5a90e1c	I'm glad!	Saya senang!
line:286fec49	I'm glad.	Aku senang.
line:42f5fd9d	I'm glad.	Aku senang.
line:99b6dc81	I'm glad.	Saya senang.
line:570d4953	I'm happy for you!	Aku ikut bahagia untukmu!
line:ac6d5bd3	I'm happy for you!	Aku ikut bahagia untukmu!
line:ed5c40ca	I'm happy for you!	Aku ikut bahagia untukmu!
line:79099951	I'm happy to be here too.	Saya juga senang berada di sini.
line:99fd9b51	I'm happy to give you a place you can relax.	Saya senang bisa memberi tempat bagi Anda untuk bersantai.
line:5d36d5c8	I'm happy to have met you.	Saya senang sudah mengenal Anda.
line:ce21622a	I'm happy to hear that.	Saya senang mendengarnya.
line:69963a6c	I'm happy you feel comfy here.	Saya senang Anda merasa nyaman di sini.
line:38388248	I'm here for a wash.	Saya datang untuk mandi.
line:a6974256	I'm here if you need someone to talk to.	Aku di sini kalau kamu perlu teman bicara.
line:6690512d	I'm impressed.	Aku kagum.
line:2e424b13	I'm in need of another wash.	Aku perlu mandi lagi.
line:ef91a572	I'm Jealous!	Aku iri!
line:a79b8639	I'm just happy I don't feel judged here.	Aku senang karena tidak merasa dihakimi di sini.
line:8076eb95	I'm just here for a wash though.	Tapi aku cuma datang untuk mandi.
line:c2caa0b7	I'm just here to bring you food!	Aku cuma datang membawa makanan untukmu!
line:ec6c7823	I'm just... Happy.	Aku hanya... bahagia.
line:ed4b0d48	I'm kind of excited.	Aku agak bersemangat.
line:266c652e	I'm looking forward to seeing you again	Aku tidak sabar bertemu denganmu lagi.
line:e91e2041	I'm not <i>that</i> little-	Aku tidak <i>sekecil</i> itu...
line:cf05a364	I'm not certain why I suddenly understand your 'Yips'	Saya tidak tahu kenapa tiba-tiba memahami «yip» Anda.
line:dcc4774b	I'm not too sure. It was on sale at WingCo.	Aku tidak terlalu yakin. Lagi diskon di WingCo.
line:5b31909a	I'm only doing what I think is right.	Aku hanya melakukan apa yang menurutku benar.
line:7fe349d7	I'm profoundly embarrassed by this whole ordeal.	Seluruh kejadian ini sangat memalukan bagi saya.
line:cfaffc52	I'm pumped.	Aku tidak sabar.
line:c0a140f8	I'm really fond of letting folks ride on my back.	Aku sangat suka membiarkan orang naik di punggungku.
line:1a5e6184	I'm really looking forward to this.	Aku benar-benar menantikannya.
line:8b43a434	I'm really sorry you got hurt. Who did this?	Aku benar-benar sedih kamu terluka. Siapa yang melakukan ini?
line:69ffe957	I'm so excited about this date!	Aku sangat bersemangat untuk kencan ini!
line:e6290003	I'm so excited. I'll get you two in contact!	Aku bersemangat sekali. Akan kukenalkan kalian!
line:e8611ad0	I'm sorry for dumping that all on you earlier.	Maaf sudah menumpahkan semua masalahku padamu tadi.
line:e613b1c3	I'm sorry I snapped at you earlier.	Maaf karena tadi membentakmu.
line:de208e68	I'm sorry you got hurt...	Aku sedih kamu terluka...
line:4843bb47	I'm still very muddy, if you could soap me up that'd be great.	Aku masih sangat berlumpur. Akan bagus kalau kamu menyabuniku.
line:51d4e418	I'm such an idiot.	Aku bodoh sekali.
line:32114891	I'm sure nobody will know...	Saya yakin tidak ada yang akan tahu...
line:17a05c96	I'm sure we'll figure something out! just meet me at the pier!	Kita pasti menemukan kegiatan! Temui aku di dermaga saja!
line:8136ef1a	I'm surprised how nice it is.	Aku terkejut rasanya begitu menyenangkan.
line:722c6ab2	I'm thinking a date soon.	Aku berpikir untuk segera berkencan.
line:3471e9b1	I'm trying my best.	Aku sudah berusaha sebaik mungkin.
line:01492e5e	I'm trying not to be pushy.	Aku sedang berusaha tidak memaksa.
line:4d6cd625	I'm trying to get away from the house for a bit.	Aku ingin menjauh sebentar dari rumah.
line:c1ef777a	I'm unsure why speaking with you is so easy.	Saya tidak tahu kenapa berbicara dengan Anda begitu mudah.
line:822c0718	I'm very excited.	Aku sangat bersemangat.
line:ddab3d34	I'm very satisfied with these results..	Saya sangat puas dengan hasil ini...
line:03eb977c	I'm well aware. A deep clean has a distinct feel!	Saya tahu betul. Pembersihan menyeluruh terasa berbeda!
line:f9193c0d	I'm willing to do it. But I'd like something new.	Aku bersedia menghadapinya. Tapi aku ingin sesuatu yang baru.
line:63981253	I'm... Happy.	Aku... bahagia.
line:f80bd44b	I'm... not certain I'd like to use this today.	Saya... tidak yakin ingin memakai ini hari ini.
line:d422462e	I'm... not sure I can answer that for you.	Aku... tidak yakin bisa menjawabnya untukmu.
line:8f107933	I'm... Rather close now	Saya... sudah hampir mencapai klimaks.
line:24c52c54	I'm... wondering...	Saya... bertanya-tanya...
line:6bbd7f1d	I've always hated the rain.	Saya selalu membenci hujan.
line:b4353808	I've always loved giving my biped friends rides...	Aku selalu senang membawa teman-temanku yang berkaki dua...
line:9541fceb	I've been considering asking you this for a while now.	Sudah cukup lama saya mempertimbangkan untuk menanyakan ini.
line:505154a4	I've been thinking...	Saya sedang berpikir...
line:58b4f5fb	I've been told it's polite to talk to smaller folk face to face.	Katanya lebih sopan bicara tatap muka dengan orang yang lebih kecil.
line:2c560e29	I've been trying to get into the social sciences aswell.	Saya juga mencoba mendalami ilmu sosial.
line:b4a29141	I've got a guy who can drop a gift by tomorrow that would spruce things up.	Aku kenal orang yang besok bisa mengantar hadiah untuk menyegarkan tempat ini.
line:212f0021	I've had a lot of free time lately.	Belakangan ini waktu luangku banyak.
line:701b9feb	I've had a lot of free time lately.	Belakangan ini waktu luangku banyak.
line:79da763f	I've had a lot of free time lately.	Belakangan ini waktu luangku banyak.
line:3c4443fd	I've seen bigger	Aku pernah lihat yang lebih besar.
line:d7a90078	I...	Aku...
line:393d0e05	I... hm.	Saya... Hmm.
line:0da5609b	I... Know this is unprompted.	Saya... tahu ini mendadak.
line:5cfb94b9	If a relationship is <i>so</i> bumpy and you know its going to end.	Kalau suatu hubungan <i>begitu</i> bermasalah dan kamu tahu akan berakhir...
line:b2f52b23	If I could uhm...	Apakah saya bisa, ehm...
line:b4990e3d	If I'm honest. I've had a crush on you for a bit.	Sejujurnya, aku sudah menaruh hati padamu sejak beberapa waktu lalu.
line:7c13c28e	If only.	Andai saja.
line:a56c5621	If someone like Ryan is interested, you're doing great.	Kalau orang seperti Ryan tertarik, berarti kamu sudah bagus.
line:52f28749	If we're caught violating another policy my reputation would be in ruins!	Kalau ketahuan melanggar aturan lagi, reputasi saya akan hancur!
line:83f511d2	If ya' place the mount for me I'll have at it.	Kalau kamu pasang alatnya, aku langsung pakai.
line:7ead92b1	If you could come up front so I could talk.	Bisa datang ke depan supaya aku bisa bicara?
line:e78656aa	If you could come up to where I can see you.	Bisa datang ke depan supaya aku bisa melihatmu?
line:9a013329	If you wanna talk about it more, I've got a minute.	Kalau masih ingin bercerita, aku punya waktu sebentar.
line:3d014153	If you want to use it that's fine!	Kalau Anda ingin memakainya, tidak masalah!
line:a9eb9a76	if you're seeing this please grab nael or submit a bug report	Kalau melihat ini, hubungi nael atau kirim laporan bug.
line:b9ab4eed	Im not complaining though.	Tapi aku tidak mengeluh.
line:27340362	In a bad way?	Dalam arti buruk?
line:2019bb85	In a good way?	Dalam arti baik?
line:91d5fb72	Incredible!	Luar biasa!
line:61c8781b	Indeed! You're the only kobold I wish to wash me now.	Benar! Sekarang hanya Anda kobold yang saya inginkan untuk memandikan saya.
line:a5979ac9	Indeed, you must know of my crest! I teach alchemy.	Benar, pasti Anda mengenali lambang saya! Saya mengajar alkimia.
line:dd9d30d2	Indeed. I'm glad you were able to help.	Benar. Saya senang Anda bisa membantu.
line:fd5ddfcb	Indeed. You're an excellent person to be around.	Benar. Berada di dekat Anda sangat menyenangkan.
line:78c9b5cc	Is everything okay?	Semuanya baik-baik saja?
line:bea8f1f7	Is something on your mind?	Ada yang kamu pikirkan?
line:6b6dd8bc	Is that a good thing...?	Itu hal baik...?
line:848727f2	Is that a threat...?	Itu ancaman...?
line:db302830	Is that why you came in the first time?	Itu sebabnya kamu pertama kali datang?
line:00e41343	Is this good?	Enak begini?
line:7982d3d8	Is this the right place?	Aku datang ke tempat yang benar?
line:c48f59a9	Is this the right place?	Aku datang ke tempat yang benar?
line:b05f6eea	Isn't that... Wood?	Bukankah itu... kayu?
line:bf137cb4	It arrived this morning, it should be near the gate.	Barangnya sampai tadi pagi. Seharusnya ada di dekat gerbang.
line:5080b6dd	It depends! Dragon thing.	Tergantung! Kebiasaan naga.
line:34cf0601	It did! Thanks for asking.	Memang! Terima kasih sudah bertanya.
line:900dca3c	It does wonders.	Dampaknya luar biasa.
line:cfd504c5	It does wonders.	Dampaknya luar biasa.
line:ac13bf68	It is indeed rather cool.	Memang cukup keren.
line:ea445b46	It is rather novel isn't it?	Pengalaman yang baru, bukan?
line:56d34a41	It is? Good to know...	Ya? Senang mengetahuinya...
line:b058318f	It means you're doing a good job in kobold.	Dalam bahasa kobold, artinya kamu melakukan hal yang bagus.
line:13c906c7	It really has been. You're wonderful.	Memang. Kamu luar biasa.
line:b032bfb1	It turns out baking is messy!	Ternyata membuat kue bikin berantakan!
line:da4f12a1	It turns out baking is messy!	Ternyata membuat kue bikin berantakan!
line:e106207b	It turns out baking is messy!	Ternyata membuat kue bikin berantakan!
line:e0c8c57b	It was good. We had sex.	Bagus. Kami berhubungan seks.
line:681117ec	It was great. Conrad is wild. Good wild.	Bagus sekali. Conrad liar. Dalam arti baik.
line:28eee9f5	It went great!	Berjalan sangat baik!
line:92bfe06c	It went great!	Berjalan sangat baik!
line:a5d2b991	It went well.	Berjalan baik.
line:1ab5969b	It would be a... date. As most would say.	Itu akan menjadi... kencan. Seperti istilah kebanyakan orang.
line:8440a3f4	It's a regrettable state I find myself in...	Sungguh keadaan yang memalukan...
line:1706e86d	It's also new to me...	Ini juga baru buatku...
line:c1b8e62b	It's always good when a kobold knows what they like.	Menyenangkan kalau kobold tahu apa yang disukainya.
line:deffce5c	It's crazy how much your neck can handle.	Luar biasa, lehermu bisa menampung sebanyak itu.
line:2e182063	It's difficult to find folks that are outside of my current bubble.	Sulit menemukan orang di luar lingkaran pergaulanku saat ini.
line:48cfc92b	It's endearing!	Menggemaskan!
line:5b6f00bd	It's fine.	Tidak apa-apa.
line:13dc0f15	It's fine. I close in about an hour.	Tidak apa-apa. Aku tutup sekitar satu jam lagi.
line:23ac92c8	It's freeing. I'll be back, yeah?	Rasanya membebaskan. Saya akan kembali, ya?
line:de9fdb93	It's hard to hold back..	Sulit menahannya...
line:9ebea3d0	It's hard to not be nervous after everything...	Sulit untuk tidak gugup setelah semua kejadian itu...
line:ec8243d8	It's interesting; you bipeds tend to savor your meals.	Menarik, kalian yang berkaki dua biasanya menikmati rasa makanan perlahan.
line:d50cb509	It's just that something happened to Conrad, I hope he's okay.	Hanya saja, sesuatu terjadi pada Conrad. Semoga dia baik-baik saja.
line:bee6c7dd	It's just that...	Hanya saja...
line:3b76093c	It's made for eating things whole.	Memang dibuat untuk menelan makanan utuh.
line:19f36dc0	It's my dream.	Itulah impian saya.
line:18db795f	It's never easy to end things.	Mengakhiri hubungan memang tidak pernah mudah.
line:049fb01f	It's nice to have friends to rely on.	Menyenangkan punya teman yang bisa diandalkan.
line:ed69e3a1	It's nice to relinquish control, even for a moment.	Menyenangkan bisa melepaskan kendali, meski hanya sebentar.
line:e9d34ea0	It's no biggie. It sounds like everyone is fine.	Bukan masalah besar. Sepertinya semua baik-baik saja.
line:7e511da7	It's okay!	Tidak apa-apa!
line:b14d8520	It's okay, you sound like you need it.	Tidak apa-apa, sepertinya kamu perlu bercerita.
line:50b95260	It's okay. I needed to. She wasn't making me happy.	Tidak apa-apa. Memang harus. Bersamanya aku tidak bahagia.
line:47455767	It's okay. I'll figure something out.	Tidak apa-apa. Aku akan mencari jalan keluar.
line:9287c933	It's starting to feel like it's <i>my</i> fault.	Mulai terasa seperti ini salah <i>aku</i>.
line:7ab244af	It's the best way to enjoy food.	Itu cara terbaik menikmati makanan.
line:0b7589ff	It's the mount you asked for.	Itu alat kawin yang kamu minta.
line:a5780e74	It's wonderful to be back!	Senang sekali bisa kembali!
line:649e8eb3	Its a nice get away from everything out there.	Enak bisa sejenak menjauh dari segala urusan di luar sana.
line:d0361dd9	Its like an equine fusion thing...	Semacam perpaduan masakan kaum kuda dengan masakan lain...
line:df86a610	Jokes aside, your wash is definitely the best.	Serius, tempat mandimu memang yang terbaik.
line:7fe40d2b	Just a rough day. Hoping this helps!	Cuma sedang menjalani hari yang berat. Semoga mandi bisa membantu!
line:ce77a00e	Just did!	Baru saja!
line:7c93c604	Just doing my job!	Hanya menjalankan tugas!
line:fa0a9fbb	Just having fun.	Cuma bersenang-senang.
line:9e9425cd	Just possibly...	Kalau saja...
line:1d73a343	Just some drake at the bar. Was stupid... Couldn't shut my mouth.	Cuma naga di bar. Aku bodoh... Tidak bisa jaga mulut.
line:ecb9a15d	Just touch me with your hand and I'll try to help.	Sentuh saja aku dengan tangan dan aku akan mencoba membantu.
line:14209365	Just uhm... Don't tell anyone I'm saying all this.	Cuma, ehm... Jangan bilang siapa-siapa aku mengatakan semua ini.
line:3bac1dad	Just... open the gate.	Buka... gerbangnya saja.
line:4f826403	Keep going a little longer please	Tolong teruskan sedikit lebih lama.
line:087039ba	Keep going.	Teruskan.
line:d8f92323	Kinda! I've been getting out more.	Bisa dibilang! Aku lebih sering keluar sekarang.
line:b965b4dd	Knock that off, we're not done yet. Right?	Hentikan, kita belum selesai. Benar?
line:d9d276bb	Kobolds always seem enamored by me eating.	Kobold selalu terlihat terpesona saat aku makan.
line:0274cacd	Kobolds are very flexible. It will fit.	Kobold sangat lentur. Pasti muat.
line:20cb68b9	lemme in?	Boleh mafuk?
line:41d5085a	Let go whenever you are ready.	Lepaskan kapan pun Anda siap.
line:29a77d09	Let me give it a try!	Biar kucoba!
line:265e14cb	Let me know when you're finished rinsing.	Beri tahu kalau Anda sudah selesai membilas.
line:0e1fd4b0	Let the <i>big C</i> out of this place!	Biarkan <i>C besar</i> keluar dari sini!
line:f7382398	Let's get going~!	Ayo mulai~!
line:c50535b3	Let's have it!	Ayo keluarkan!
line:9accd60e	Lets wash it off for our date tonight then.	Kalau begitu, ayo bersihkan untuk kencan kita malam ini.
line:7ce1b833	Like what?	Seperti apa?
line:cb91e703	Like, I love those around me, but there's a lot of baggage there.	Aku sayang orang-orang di sekitarku, tapi ada banyak beban masa lalu di sana.
line:aa1c54ab	Like, in general.	Maksudku, secara keseluruhan.
line:bbe51f87	Like, in general.	Maksudku, secara keseluruhan.
line:7b7b0a3f	Like, the future of my relationships.	Maksudku, masa depan hubungan asmaraku.
line:db79a905	Like... a lemon?	Seperti... lemon?
line:ffd7dcc4	Like... An asshole? I know I'm miserable to be around.	Seperti... bajingan? Aku tahu bergaul denganku tidak menyenangkan.
line:a0a0a49c	Like... sexual stuff?	Maksudmu... layanan seksual?
line:9becd177	Look at me! I'll be the laughing stock of my students.	Lihat saya! Saya akan jadi bahan tertawaan mahasiswa.
line:9711cf03	Lookin' for a hose down. Wouldn't mind using the mount aswell.	Aku ingin disemprot bersih. Pakai alat itu juga boleh.
line:abdb5822	Looking forward to seeing ya'	Tidak sabar ingin bertemu lagi.
line:5c335985	Looking forward to seeing you soon.	Saya menantikan pertemuan kita berikutnya.
line:1d0abc80	Looking forward to the wash.	Saya menantikan mandinya.
line:646279a0	Looks like it.	Sepertinya begitu.
line:b6093881	Looks like ya' got a shipment, eh?	Sepertinya kamu dapat kiriman, ya?
line:f1fc3e3c	Luckily death via spontaneous combustion is a concept we have thoroughly curtailed in the modern world.	Untungnya, di dunia modern, kematian akibat terbakar spontan sudah jauh berkurang.
line:d2ba8ba9	Made a bit of a mess... Still worth it.	Jadi sedikit berantakan... Tapi sepadan.
line:301e8665	Make haste! My reputation is on the line.	Cepatlah! Reputasi saya dipertaruhkan.
line:5072cc60	Make sure you're very clean. <size=70%><i>hehe.	Pastikan bersih sekali. <size=70%><i>Hehe.
line:da21cf49	Makes sense! Yeah tiny drakes are fun.	Masuk akal! Naga mungil memang seru.
line:22b2643b	Makes sense.	Masuk akal.
line:e7f0e9ed	Makes sense.	Masuk akal.
line:89c9a73b	Many think it's part of my body.	Banyak yang mengira itu bagian dari tubuh saya.
line:d7bcbe29	Max says I'm a clumsy dragon,	Max bilang aku naga ceroboh,
line:db986d0d	May you open the gate?	Bisakah Anda membuka gerbang?
line:76a97730	Maybe later...?	Mungkin nanti...?
line:08a422ba	Maybe like...	Mungkin...
line:6f293b7a	Maybe someone new...	Mungkin seseorang yang baru...
line:d2558a04	Maybe someone?	Atau mungkin seseorang?
line:67a46ddc	Maybe we can hang out later?	Mungkin nanti kita bisa menghabiskan waktu bersama?
line:5691478f	Maybe we could just... Walk?	Mungkin kita bisa... jalan-jalan saja?
line:7734bf93	Me too, thanks!	Aku juga, makasih!
line:627a13e4	Me too.	Saya juga.
line:d3c733f5	Me too.	Saya juga.
line:ffa63d1b	Me too.	Saya juga.
line:040ee2a7	me too.	Aku juga.
line:d13cd125	Me.	Diri sendiri.
line:14e7b293	Me?	Aku?
line:b9cb051a	Means I'm ready to go on a date with a certain kobold.	Artinya aku siap berkencan dengan kobold tertentu.
line:e5da247d	Means you know how to get hands on!	Berarti kamu tahu cara turun tangan!
line:171707d2	Mhm!	Mhm!
line:11306335	Mhm! Come back anytime.	Mhm! Datang lagi kapan saja.
line:69dd6a73	Mhm! he's trying to meet new people.	Mhm! Dia juga ingin bertemu orang baru.
line:da17b746	Mhm! I'm <i>the</i> kobold!	Mhm! Akulah <i>si</i> kobold itu!
line:a0cb3f78	Mhm! that's him.	Mhm! Itu dia.
line:164fdb01	Mhm, he's trying.	Mhm, dia berusaha.
line:1a663dcf	Mhm, right this way.	Mhm, lewat sini.
line:3cd8a8bd	Mhm... Thank you.	Mhm... Terima kasih.
line:4546abce	Might seem kinda weird to ask now. Buuuut.	Mungkin aneh bertanya sekarang. Tapiii...
line:57d8b72a	Mind opening the gate to let me out?	Bisa buka gerbang supaya aku bisa keluar?
line:b2a507ab	Mind opening the gate to let me out?	Bisa buka gerbang supaya aku bisa keluar?
line:6d726280	Mind washing more?	Bisa cuci lagi?
line:c8281b83	Mmm, I understand that to mean you'll get the gate?	Hmm, saya mengartikannya Anda akan membuka gerbang?
line:dd0c77ae	Mmm, Yeah I know the type.	Hmm, ya, aku tahu tipenya.
line:d8cafcc7	mmm..	Mmm...
line:729cea0c	Mmmhm, I always do my best.	Mhm, saya selalu berusaha sebaik mungkin.
line:f36b8b76	Mmmhm. I'll work on my sleep schedule...	Mmmhm. Aku akan memperbaiki jadwal tidurku...
line:d38efb75	Mmmmhm, gotta prep for a date with him.	Mmmhm, harus bersiap untuk kencan dengannya.
line:a78dd44b	mmph! (Yea!)	Mmph! (Ya!)
line:b132719c	Mmph- Hm?	Mmph... Hmm?
line:16ee6b14	Money... mmm...	Uang... Hmm...
line:d8cc8048	Most people do!	Kebanyakan orang begitu!
line:3d723db0	Must mean you two are a good match.	Berarti kalian sangat cocok.
line:9ca994a5	My bad	Salahku.
line:aaecba3d	My bad	Salahku.
line:fedbf70c	My colleague, professor Igwyx, wished to use me as a platform.	Rekan saya, Profesor Igwyx, ingin memakai saya sebagai pijakan.
line:08af3902	My date with Ryan was...	Kencanku dengan Ryan...
line:116b5405	My date with Ryan was...	Kencanku dengan Ryan...
line:e26c3b65	My first ever Yarn script in Unity!	Skrip Yarn pertamaku di Unity!
line:f15b014f	My names Ryan. So...	Namaku Ryan. Jadi...
line:e4aced7b	My students could learn a thing or two from your work ethic!	Mahasiswa saya bisa belajar dari etos kerja Anda!
line:dfe74420	My-	Astaga...
line:9b915bf2	Nah.	Tidak.
line:c3642dec	Nah.	Tidak.
line:393c128a	Never cleaned a teacher dragon... woah.	Belum pernah memandikan naga guru... Wah.
line:a99b03ed	Never tried it.	Belum pernah mencoba.
line:6df809e1	Nevermind. Could you get the gate?	Lupakan. Bisa buka gerbangnya?
line:d3a50f3f	Next time I come in for a wash we'll go.	Lain kali aku datang mandi, kita berangkat.
line:ac5afd96	Next time I come in I'll have reservations!	Lain kali datang, aku sudah punya reservasi!
line:8990fcc9	Nice! Whats with all the... Gloop?	Bagus! Ada apa dengan semua... lendir ini?
line:1d4b8528	Nice. Gotta open the gate though. Let Conrad in!	Bagus. Tapi buka gerbangnya dulu. Biarkan Conrad masuk!
line:acab92d4	Nnf... I believe I needed that. Thank you.	Nnf... Saya yakin memang membutuhkan itu. Terima kasih.
line:8fe11008	Nnnf... That was way better than those berries.	Nnnf... Jauh lebih enak daripada buah beri itu.
line:b251704a	No	Tidak.
line:e05c2dca	No	Tidak.
line:dc86c2de	no	tidak
line:5794ea87	No amount of justification makes it feel good though.	Tapi alasan sekuat apa pun tidak membuatnya terasa menyenangkan.
line:5a5ec440	No I actually just got it	Tidak, sebenarnya baru saya beli.
line:cd5f07ca	No more excuses.	Tidak ada alasan lagi.
line:4b38230f	No need for thanks. I'll get the gate.	Tidak perlu berterima kasih. Aku buka gerbangnya.
line:11604fbd	No need to be nervous, Alexander!	Tidak perlu gugup, Alexander!
line:eefef647	No need to be.	Tidak perlu malu.
line:73ea230a	No no, you're a certified cleaner yeah?	Tidak, tidak. Kamu petugas pemandian bersertifikat, kan?
line:743c64e6	No not really.	Tidak juga.
line:50feefe8	No problem!	Tidak masalah!
line:1a9a36e1	No problem! Can't wait for you to meet Conrad.	Tidak masalah! Tidak sabar melihatmu bertemu Conrad.
line:0a9993d2	No problem, thanks!	Tidak masalah, makasih!
line:10bdb3a4	No problem, thanks!	Tidak masalah, makasih!
line:3a8f65fa	No problem.	Tidak masalah.
line:ee3d0ee4	No problem. Let me get that gate for ya'!	Tidak masalah. Saya buka gerbangnya dulu!
line:eedccaec	No way.	Tidak mungkin.
line:f0351f0c	No way.	Tidak mungkin.
line:d726f776	No worries,	Tidak apa-apa,
line:12b7a5b3	No! I mean, yes, but for the sake of my reputation could you please keep my incursion here to yourself.	Tidak! Maksud saya, ya, tapi demi reputasi saya, bisakah kunjungan ini dirahasiakan?
line:f7f963e3	No, I am.	Tidak, saya memang kotor.
line:54faa7c0	No, I don't think I do.	Tidak, sepertinya tidak.
line:38419d8b	No, it's not. No more excuses.	Tidak, itu tidak benar. Tidak ada alasan lagi.
line:cd9b2a8f	No, thank you. I'm... Really excited.	Justru aku yang harus berterima kasih. Aku... sangat bersemangat.
line:1af1ad05	No, we don't offer things like that here.	Tidak, kami tidak menyediakan layanan begitu.
line:cb7e94e5	no.	Tidak.
line:6128a09c	No. A lime that is yellow.	Bukan. Jeruk nipis yang berwarna kuning.
line:de25dacd	No. I'm not. Do you have a medkit or not?	Tidak. Aku tidak baik-baik saja. Kamu punya kotak P3K atau tidak?
line:1cc64bcf	No.. No it's fine... thank you.	Tidak... Tidak, tidak apa-apa... Terima kasih.
line:525f5744	Nope	Tidak.
line:fbd2c3e7	Nope.	Belum.
line:5406ba8e	Normally I'd say yes to a mount. But, not right now.	Biasanya aku mau pakai alat itu. Tapi jangan sekarang.
line:ab92da6a	Not anymore at least!	Setidaknya sekarang tidak lagi!
line:0cfcd179	Not for a date though.	Tapi bukan untuk kencan.
line:d1b90e2c	Not sure yet.	Belum yakin.
line:e9643b5d	Not yet.	Belum.
line:326cc84d	Not yet. a little longer.	Belum. Sedikit lagi.
line:56a729f6	Nothing more attractive than a man who can improve!	Tidak ada yang lebih menarik daripada pria yang bisa memperbaiki diri!
line:b5dabf9f	Nothing more attractive than a man who can improve!	Tidak ada yang lebih menarik daripada pria yang bisa memperbaiki diri!
line:8a321997	Now I'm eyeballing the mount...	Sekarang mataku tertuju pada alat itu...
line:5e0a6d7a	Now I'm out here, agh!	Sekarang saya terjebak di luar sini, agh!
line:564a9606	Now they'll never need to know!	Sekarang tidak perlu ada yang tahu!
