# line ID	exact English source	translation (English A-Z then ID)
line:39fd52f1	'Ey big dog.	Čau, hafane.
line:2f6eb3c3	I'm all soapy still!	Pořád jsem celej od mýdla!
line:18707b19	I'm always happy to give you a wash!	Vždycky tě rád umyju!
line:3b01eb3b	I'm always happy to give you a wash!	Vždycky tě rád umyju!
line:d82b1a7d	I'm always happy to help. <i><size=70%> especially a big dragon.	Vždycky rád pomůžu. <i><size=70%>Obzvlášť velkému drakovi.
line:46c6a3ed	I'm always happy to see you Ryan.	Vždycky tě rád vidím, Ryane.
line:75206eee	I'm always happy to see you Ryan.	Vždycky tě rád vidím, Ryane.
line:fa6e232e	I'm always happy to see you. I'll go get the gate for you.	Vždycky vás rád vidím. Otevřu vám bránu.
line:07e5fc05	I'm amazed!	Jsem ohromený!
line:4586d55d	I'm an asshole. I know I am.	Jsem kretén. Vím to.
line:a6d46685	I'm certain he also finds you pleasant!	Jsem si jistý, že i on má rád vaši společnost!
line:ef399e26	I'm doing good!	Mám se dobře!
line:a6c1f2f4	I'm excited for you!	Mám z tebe radost!
line:94fbdbf0	I'm excited for you. I'll get the gate!	Mám z tebe radost. Otevřu ti bránu!
line:f83e4966	I'm excited to hear about it!	Už se těším, až mi to povíš!
line:bd55b8f4	I'm excited to see them washing down the drain though.	Ale těším se, až je uvidím mizet v odtoku.
line:24832f01	I'm excited.	Těším se.
line:69f406a6	I'm excited.	Těším se.
line:a00f681d	I'm excited.	Těším se.
line:a0479425	I'm excited.	Těším se.
line:b5d7d26f	I'm excited.	Těším se.
line:d66b9155	I'm excited.	Těším se.
line:4e1b1d0a	I'm glad you derive enjoyment from this as well.	Těší mě, že z toho máte radost i vy.
line:5db47405	I'm glad you enjoy him. I'm certain he finds you pleasant.	Jsem rád, že ho máte rád. Určitě i on rád tráví čas s vámi.
line:c56ee060	I'm glad you enjoy my crest.	Jsem rád, že se vám můj erb líbí.
line:f44a1493	I'm glad you trust me.	Jsem rád, že mi důvěřujete.
line:3a2ed5ef	I'm glad you two are working out though.	Ale jsem rád, že vám to spolu jde.
line:c0972e81	I'm glad you two are working out.	Jsem rád, že vám to spolu jde.
line:34ba77b1	I'm glad you were able to make the choice that was best for you.	Jsem rád, žes dokázal udělat to, co je pro tebe nejlepší.
line:d5a90e1c	I'm glad!	To jsem rád!
line:286fec49	I'm glad.	Jsem rád.
line:42f5fd9d	I'm glad.	Jsem rád.
line:99b6dc81	I'm glad.	Jsem rád.
line:570d4953	I'm happy for you!	Přeju ti to!
line:ac6d5bd3	I'm happy for you!	Přeju ti to!
line:ed5c40ca	I'm happy for you!	Přeju ti to!
line:79099951	I'm happy to be here too.	I já jsem rád, že jsem tady.
line:99fd9b51	I'm happy to give you a place you can relax.	Jsem rád, že vám můžu nabídnout místo, kde si odpočinete.
line:5d36d5c8	I'm happy to have met you.	Jsem rád, že jsem vás poznal.
line:ce21622a	I'm happy to hear that.	To rád slyším.
line:69963a6c	I'm happy you feel comfy here.	Jsem rád, že se tu cítíte dobře.
line:38388248	I'm here for a wash.	Přišel jsem se nechat umýt.
line:a6974256	I'm here if you need someone to talk to.	Jsem tady, kdyby sis potřeboval s někým promluvit.
line:6690512d	I'm impressed.	Jsem ohromenej.
line:2e424b13	I'm in need of another wash.	Potřebuju zase umýt.
line:ef91a572	I'm Jealous!	Závidím!
line:a79b8639	I'm just happy I don't feel judged here.	Jsem jen rád, že mě tady nikdo nesoudí.
line:8076eb95	I'm just here for a wash though.	Ale jdu jen na mytí.
line:c2caa0b7	I'm just here to bring you food!	Přišel jsem ti jen přinést jídlo!
line:ec6c7823	I'm just... Happy.	Jsem jenom... šťastný.
line:ed4b0d48	I'm kind of excited.	Docela se těším.
line:266c652e	I'm looking forward to seeing you again	Těším se, až tě zase uvidím.
line:e91e2041	I'm not <i>that</i> little-	Zase <i>tak</i> malý nejsem...
line:cf05a364	I'm not certain why I suddenly understand your 'Yips'	Nevím, proč vašemu „jipání“ najednou rozumím.
line:dcc4774b	I'm not too sure. It was on sale at WingCo.	Ani nevím. Bylo ve slevě ve WingCo.
line:5b31909a	I'm only doing what I think is right.	Dělám jen to, co považuju za správné.
line:7fe349d7	I'm profoundly embarrassed by this whole ordeal.	Celá ta příhoda mě hluboce zahanbuje.
line:cfaffc52	I'm pumped.	Nemůžu se dočkat.
line:c0a140f8	I'm really fond of letting folks ride on my back.	Moc rád vozím ostatní na zádech.
line:1a5e6184	I'm really looking forward to this.	Moc se na to těším.
line:8b43a434	I'm really sorry you got hurt. Who did this?	Vážně mě mrzí, že jsi zraněný. Kdo ti to udělal?
line:69ffe957	I'm so excited about this date!	Na tohle rande se tak těším!
line:e6290003	I'm so excited. I'll get you two in contact!	To mám radost. Seznámím vás!
line:e8611ad0	I'm sorry for dumping that all on you earlier.	Promiň, že jsem na tebe předtím vyklopil všechny svoje problémy.
line:e613b1c3	I'm sorry I snapped at you earlier.	Promiň, že jsem na tebe předtím vyjel.
line:de208e68	I'm sorry you got hurt...	Mrzí mě, že jsi zraněný...
line:4843bb47	I'm still very muddy, if you could soap me up that'd be great.	Pořád jsem dost od bláta. Bylo by fajn, kdybys mě namydlil.
line:51d4e418	I'm such an idiot.	Jsem takový idiot.
line:32114891	I'm sure nobody will know...	Určitě se to nikdo nedozví...
line:17a05c96	I'm sure we'll figure something out! just meet me at the pier!	Určitě něco vymyslíme! Jen se se mnou sejdi u mola!
line:8136ef1a	I'm surprised how nice it is.	Překvapuje mě, jak je to příjemné.
line:722c6ab2	I'm thinking a date soon.	Přemýšlím, že si brzy dáme rande.
line:3471e9b1	I'm trying my best.	Snažím se, jak můžu.
line:01492e5e	I'm trying not to be pushy.	Snažím se moc netlačit.
line:4d6cd625	I'm trying to get away from the house for a bit.	Snažím se na chvíli dostat z domu.
line:c1ef777a	I'm unsure why speaking with you is so easy.	Nevím, proč je tak snadné s vámi mluvit.
line:822c0718	I'm very excited.	Moc se těším.
line:ddab3d34	I'm very satisfied with these results..	S výsledkem jsem velmi spokojený...
line:03eb977c	I'm well aware. A deep clean has a distinct feel!	To dobře vím. Důkladnou očistu člověk pozná!
line:f9193c0d	I'm willing to do it. But I'd like something new.	Jsem ochotný to zvládnout. Ale chtěl bych něco nového.
line:63981253	I'm... Happy.	Jsem... šťastný.
line:f80bd44b	I'm... not certain I'd like to use this today.	Nejsem si... jistý, jestli bych to dnes chtěl použít.
line:d422462e	I'm... not sure I can answer that for you.	Nejsem si... jistý, jestli na to můžu odpovědět za tebe.
line:8f107933	I'm... Rather close now	Už jsem... docela blízko.
line:24c52c54	I'm... wondering...	Já... říkal jsem si...
line:6bbd7f1d	I've always hated the rain.	Vždycky jsem déšť nesnášel.
line:b4353808	I've always loved giving my biped friends rides...	Vždycky jsem rád vozil své dvounohé kamarády...
line:9541fceb	I've been considering asking you this for a while now.	Už nějakou dobu zvažuji, že se vás zeptám.
line:505154a4	I've been thinking...	Přemýšlel jsem...
line:58b4f5fb	I've been told it's polite to talk to smaller folk face to face.	Říkali mi, že je slušné mluvit s menšími lidmi tváří v tvář.
line:2c560e29	I've been trying to get into the social sciences aswell.	Snažím se také proniknout do společenských věd.
line:b4a29141	I've got a guy who can drop a gift by tomorrow that would spruce things up.	Znám někoho, kdo sem zejtra může hodit dárek, kterej to tu oživí.
line:212f0021	I've had a lot of free time lately.	Poslední dobou mám spoustu volného času.
line:701b9feb	I've had a lot of free time lately.	Poslední dobou mám spoustu volného času.
line:79da763f	I've had a lot of free time lately.	Poslední dobou mám spoustu volného času.
line:3c4443fd	I've seen bigger	Viděl jsem větší.
line:d7a90078	I...	Já...
line:393d0e05	I... hm.	Já... hm.
line:0da5609b	I... Know this is unprompted.	Vím... že se mě nikdo neptal.
line:5cfb94b9	If a relationship is <i>so</i> bumpy and you know its going to end.	Když vztah <i>takhle</i> skřípe a víš, že skončí...
line:b2f52b23	If I could uhm...	Jestli bych mohl, ehm...
line:b4990e3d	If I'm honest. I've had a crush on you for a bit.	Upřímně, už nějakou dobu se mi líbíš.
line:7c13c28e	If only.	Kdyby tak.
line:a56c5621	If someone like Ryan is interested, you're doing great.	Když o tebe stojí někdo jako Ryan, vedeš si skvěle.
line:52f28749	If we're caught violating another policy my reputation would be in ruins!	Jestli nás přistihnou při dalším porušení předpisů, má pověst bude v troskách!
line:83f511d2	If ya' place the mount for me I'll have at it.	Když mi přistavíš kozlík, hned se do něj pustím.
line:7ead92b1	If you could come up front so I could talk.	Mohl bys přijít dopředu, abych s tebou mohl mluvit?
line:e78656aa	If you could come up to where I can see you.	Mohl bys přijít sem, ať na tebe vidím?
line:9a013329	If you wanna talk about it more, I've got a minute.	Jestli si o tom chceš ještě promluvit, chvilku mám.
line:3d014153	If you want to use it that's fine!	Jestli ho chcete použít, klidně můžete!
line:a9eb9a76	if you're seeing this please grab nael or submit a bug report	Pokud tohle vidíte, ozvěte se naelovi nebo nahlaste chybu.
line:b9ab4eed	Im not complaining though.	Ale nestěžuju si.
line:27340362	In a bad way?	Ve zlém?
line:2019bb85	In a good way?	V dobrém?
line:91d5fb72	Incredible!	Neuvěřitelné!
line:61c8781b	Indeed! You're the only kobold I wish to wash me now.	Vskutku! Teď už se chci nechat mýt jedině od vás.
line:a5979ac9	Indeed, you must know of my crest! I teach alchemy.	Přesně tak, jistě znáte můj erb! Učím alchymii.
line:dd9d30d2	Indeed. I'm glad you were able to help.	Vskutku. Jsem rád, že jste mohl pomoci.
line:fd5ddfcb	Indeed. You're an excellent person to be around.	Vskutku. Je radost být ve vaší společnosti.
line:78c9b5cc	Is everything okay?	Je všechno v pořádku?
line:bea8f1f7	Is something on your mind?	Trápí tě něco?
line:6b6dd8bc	Is that a good thing...?	Je to dobře...?
line:848727f2	Is that a threat...?	To je výhrůžka...?
line:db302830	Is that why you came in the first time?	Proto jsi přišel poprvé?
line:00e41343	Is this good?	Je to příjemné?
line:7982d3d8	Is this the right place?	Jsem tu správně?
line:c48f59a9	Is this the right place?	Jsem tu správně?
line:b05f6eea	Isn't that... Wood?	Není to... dřevo?
line:bf137cb4	It arrived this morning, it should be near the gate.	Dorazil dnes ráno, měl by být u brány.
line:5080b6dd	It depends! Dragon thing.	Jak kdy! Dračí záležitost.
line:34cf0601	It did! Thanks for asking.	Šlo! Díky za optání.
line:900dca3c	It does wonders.	Dokáže zázraky.
line:cfd504c5	It does wonders.	Dokáže zázraky.
line:ac13bf68	It is indeed rather cool.	Je to vskutku zajímavé.
line:ea445b46	It is rather novel isn't it?	Je to vskutku nezvyklé, že?
line:56d34a41	It is? Good to know...	Vážně? To je dobré vědět...
line:b058318f	It means you're doing a good job in kobold.	V koboldštině to znamená, že si vedeš dobře.
line:13c906c7	It really has been. You're wonderful.	To opravdu bylo. Jsi báječný.
line:b032bfb1	It turns out baking is messy!	Ukázalo se, že při pečení je spousta nepořádku!
line:da4f12a1	It turns out baking is messy!	Ukázalo se, že při pečení je spousta nepořádku!
line:e106207b	It turns out baking is messy!	Ukázalo se, že při pečení je spousta nepořádku!
line:e0c8c57b	It was good. We had sex.	Bylo dobré. Měli jsme sex.
line:681117ec	It was great. Conrad is wild. Good wild.	Bylo skvělé. Conrad je divoch. V dobrém.
line:28eee9f5	It went great!	Dopadlo skvěle!
line:92bfe06c	It went great!	Dopadlo skvěle!
line:a5d2b991	It went well.	Dopadlo to dobře.
line:1ab5969b	It would be a... date. As most would say.	Bylo by to... rande. Jak se obvykle říká.
line:8440a3f4	It's a regrettable state I find myself in...	Dostal jsem se do politováníhodného stavu...
line:1706e86d	It's also new to me...	I pro mě je to nové...
line:c1b8e62b	It's always good when a kobold knows what they like.	Je vždycky fajn, když kobold ví, co se mu líbí.
line:deffce5c	It's crazy how much your neck can handle.	Je šílené, co všechno tvůj krk zvládne.
line:2e182063	It's difficult to find folks that are outside of my current bubble.	Je těžké poznat někoho mimo svůj okruh známých.
line:48cfc92b	It's endearing!	Je to roztomilé!
line:5b6f00bd	It's fine.	To nevadí.
line:13dc0f15	It's fine. I close in about an hour.	To je v pohodě. Zavírám asi za hodinu.
line:23ac92c8	It's freeing. I'll be back, yeah?	Je to osvobozující. Zase se vrátím, ano?
line:de9fdb93	It's hard to hold back..	Je těžké se držet...
line:9ebea3d0	It's hard to not be nervous after everything...	Po tom všem je těžký nebejt nervózní...
line:ec8243d8	It's interesting; you bipeds tend to savor your meals.	Je zajímavé, jak si vy dvounozí jídlo vychutnáváte po soustech.
line:d50cb509	It's just that something happened to Conrad, I hope he's okay.	Jen se něco stalo Conradovi. Doufám, že je v pořádku.
line:bee6c7dd	It's just that...	Jde jen o to...
line:3b76093c	It's made for eating things whole.	Je stavěný na polykání celých věcí.
line:19f36dc0	It's my dream.	Je to můj sen.
line:18db795f	It's never easy to end things.	Ukončit vztah nikdy není snadné.
line:049fb01f	It's nice to have friends to rely on.	Je fajn mít kamarády, na který se dá spolehnout.
line:ed69e3a1	It's nice to relinquish control, even for a moment.	Je příjemné přenechat řízení někomu jinému, byť jen na chvíli.
line:e9d34ea0	It's no biggie. It sounds like everyone is fine.	To nic není. Zní to, že jsou všichni v pořádku.
line:7e511da7	It's okay!	To nevadí!
line:b14d8520	It's okay, you sound like you need it.	To nevadí, zní to, že si potřebuješ promluvit.
line:50b95260	It's okay. I needed to. She wasn't making me happy.	To nic. Musel jsem. Nebyl jsem s ní šťastný.
line:47455767	It's okay. I'll figure something out.	To nic. Něco vymyslím.
line:9287c933	It's starting to feel like it's <i>my</i> fault.	Začínám mít pocit, že je to <i>moje</i> chyba.
line:7ab244af	It's the best way to enjoy food.	Tak si člověk jídlo nejlíp vychutná.
line:0b7589ff	It's the mount you asked for.	Ten kozlík, cos chtěl.
line:a5780e74	It's wonderful to be back!	Je báječné být zpátky!
line:649e8eb3	Its a nice get away from everything out there.	Je fajn na chvíli uniknout všemu tam venku.
line:d0361dd9	Its like an equine fusion thing...	Dělají takovou koňskou fusion kuchyni...
line:df86a610	Jokes aside, your wash is definitely the best.	Ale vážně, tvoje mytí je fakt nejlepší.
line:7fe40d2b	Just a rough day. Hoping this helps!	Jen náročný den. Snad to pomůže!
line:ce77a00e	Just did!	Právě teď!
line:7c93c604	Just doing my job!	Jen dělám svou práci!
line:fa0a9fbb	Just having fun.	Jen se bavím.
line:9e9425cd	Just possibly...	Čistě teoreticky...
line:1d73a343	Just some drake at the bar. Was stupid... Couldn't shut my mouth.	Nějaký drak v baru. Byl jsem blbej... Nedokázal jsem držet hubu.
line:ecb9a15d	Just touch me with your hand and I'll try to help.	Jen se mě dotkni rukou a zkusím ti pomoct.
line:14209365	Just uhm... Don't tell anyone I'm saying all this.	Jen, ehm... Nikomu neříkej, že tohle všechno říkám.
line:3bac1dad	Just... open the gate.	Prostě... otevři bránu.
line:4f826403	Keep going a little longer please	Pokračuj ještě chvilku, prosím.
line:087039ba	Keep going.	Pokračuj.
line:d8f92323	Kinda! I've been getting out more.	Tak trochu! Víc teď chodím mezi lidi.
line:b965b4dd	Knock that off, we're not done yet. Right?	Nech toho, ještě nejsme hotoví. Nebo jo?
line:d9d276bb	Kobolds always seem enamored by me eating.	Koboldi jsou vždycky okouzlení, když jím.
line:0274cacd	Kobolds are very flexible. It will fit.	Koboldi jsou hodně pružní. Vejde se.
line:20cb68b9	lemme in?	Pusštíš mě?
line:41d5085a	Let go whenever you are ready.	Pusťte to, až budete připravený.
line:29a77d09	Let me give it a try!	Nech mě ho vyzkoušet!
line:265e14cb	Let me know when you're finished rinsing.	Dejte mi vědět, až mě přestanete oplachovat.
line:0e1fd4b0	Let the <i>big C</i> out of this place!	Pusť odsud <i>velkýho C</i>!
line:f7382398	Let's get going~!	Tak jdeme na to~!
line:c50535b3	Let's have it!	Sem s tím!
line:9accd60e	Lets wash it off for our date tonight then.	Tak to před naším dnešním randem smyjeme.
line:7ce1b833	Like what?	Jíst jak?
line:cb91e703	Like, I love those around me, but there's a lot of baggage there.	Mám lidi kolem sebe rád, ale je za tím spousta společné minulosti.
line:aa1c54ab	Like, in general.	Myslím tak celkově.
line:bbe51f87	Like, in general.	Myslím tak celkově.
line:7b7b0a3f	Like, the future of my relationships.	O tom, jak by mohly vypadat do budoucna.
line:db79a905	Like... a lemon?	Jako... citron?
line:ffd7dcc4	Like... An asshole? I know I'm miserable to be around.	Jako... kretén? Vím, že je se mnou hrozně.
line:a0a0a49c	Like... sexual stuff?	Jako... něco sexuálního?
line:9becd177	Look at me! I'll be the laughing stock of my students.	Jen se na mě podívejte! Budu studentům pro smích.
line:9711cf03	Lookin' for a hose down. Wouldn't mind using the mount aswell.	Potřebuju opláchnout. A nepohrdnul bych ani kozlíkem.
line:abdb5822	Looking forward to seeing ya'	Budu se na tebe těšit.
line:5c335985	Looking forward to seeing you soon.	Těším se, až vás zase brzy uvidím.
line:1d0abc80	Looking forward to the wash.	Těším se na umytí.
line:646279a0	Looks like it.	Vypadá to tak.
line:b6093881	Looks like ya' got a shipment, eh?	Koukám, že ti něco přivezli, co?
line:f1fc3e3c	Luckily death via spontaneous combustion is a concept we have thoroughly curtailed in the modern world.	Naštěstí jsme v moderním světě dokázali úmrtí samovznícením výrazně omezit.
line:d2ba8ba9	Made a bit of a mess... Still worth it.	Trochu jsem tu nadělal... Ale stálo to za to.
line:301e8665	Make haste! My reputation is on the line.	Pospěšte si! Jde o mou pověst.
line:5072cc60	Make sure you're very clean. <size=70%><i>hehe.	Hlavně buď pořádně čistý. <size=70%><i>Hehe.
line:da21cf49	Makes sense! Yeah tiny drakes are fun.	To chápu! Jo, s malými draky je zábava.
line:22b2643b	Makes sense.	To dává smysl.
line:e7f0e9ed	Makes sense.	To dává smysl.
line:89c9a73b	Many think it's part of my body.	Mnozí si myslí, že je součástí mého těla.
line:d7bcbe29	Max says I'm a clumsy dragon,	Max říká, že jsem nemotorný drak.
line:db986d0d	May you open the gate?	Mohl byste otevřít bránu?
line:76a97730	Maybe later...?	Možná později...?
line:08a422ba	Maybe like...	Možná tak...
line:6f293b7a	Maybe someone new...	Možná někoho nového...
line:d2558a04	Maybe someone?	Možná někoho?
line:67a46ddc	Maybe we can hang out later?	Mohli bychom se pak někdy sejít?
line:5691478f	Maybe we could just... Walk?	Možná bychom se mohli jen... projít?
line:7734bf93	Me too, thanks!	Já taky, díky!
line:627a13e4	Me too.	Já také.
line:d3c733f5	Me too.	Já také.
line:ffa63d1b	Me too.	Já také.
line:040ee2a7	me too.	Já taky.
line:d13cd125	Me.	Sám sebou.
line:14e7b293	Me?	Já?
line:b9cb051a	Means I'm ready to go on a date with a certain kobold.	Že jsem připravený na rande s jedním konkrétním koboldem.
line:e5da247d	Means you know how to get hands on!	Takže umíš pořádně přiložit ruku k dílu!
line:171707d2	Mhm!	Mhm!
line:11306335	Mhm! Come back anytime.	Mhm! Přijď kdykoli.
line:69dd6a73	Mhm! he's trying to meet new people.	Mhm! Snaží se poznat nové lidi.
line:da17b746	Mhm! I'm <i>the</i> kobold!	Mhm! Já jsem <i>ten</i> kobold!
line:a0cb3f78	Mhm! that's him.	Mhm! To je on.
line:164fdb01	Mhm, he's trying.	Mhm, snaží se.
line:1a663dcf	Mhm, right this way.	Mhm, tudy.
line:3cd8a8bd	Mhm... Thank you.	Mhm... Děkuji vám.
line:4546abce	Might seem kinda weird to ask now. Buuuut.	Možná je divný se ptát zrovna teď. Aleee.
line:57d8b72a	Mind opening the gate to let me out?	Mohl bys otevřít bránu, abych mohl ven?
line:b2a507ab	Mind opening the gate to let me out?	Mohl bys otevřít bránu, abych mohl ven?
line:6d726280	Mind washing more?	Mohl bys mě ještě umýt?
line:c8281b83	Mmm, I understand that to mean you'll get the gate?	Mmm, rozumím tomu správně, že otevřete bránu?
line:dd0c77ae	Mmm, Yeah I know the type.	Mmm, jo, tenhle typ znám.
line:d8cafcc7	mmm..	Mmm...
line:729cea0c	Mmmhm, I always do my best.	Mhm, vždycky dělám, co můžu.
line:f36b8b76	Mmmhm. I'll work on my sleep schedule...	Mmmhm. Zapracuju na svým spánkovým režimu...
line:d38efb75	Mmmmhm, gotta prep for a date with him.	Mmmmhm, musím se připravit na rande s ním.
line:a78dd44b	mmph! (Yea!)	Mmf! (Jo!)
line:b132719c	Mmph- Hm?	Mmf... Hm?
line:16ee6b14	Money... mmm...	Peníze... Mmh...
line:d8cc8048	Most people do!	To většině lidí!
line:3d723db0	Must mean you two are a good match.	To musí znamenat, že se k sobě hodíte.
line:9ca994a5	My bad	Moje chyba.
line:aaecba3d	My bad	Moje chyba.
line:fedbf70c	My colleague, professor Igwyx, wished to use me as a platform.	Můj kolega, profesor Igwyx, si přál použít mě jako plošinu.
line:08af3902	My date with Ryan was...	Moje rande s Ryanem bylo...
line:116b5405	My date with Ryan was...	Moje rande s Ryanem bylo...
line:e26c3b65	My first ever Yarn script in Unity!	Můj úplně první skript Yarn v Unity!
line:f15b014f	My names Ryan. So...	Jmenuju se Ryan. Takže...
line:e4aced7b	My students could learn a thing or two from your work ethic!	Moji studenti by se od vás mohli učit pracovní morálce!
line:dfe74420	My-	Propána...
line:9b915bf2	Nah.	Ne.
line:c3642dec	Nah.	Ne.
line:393c128a	Never cleaned a teacher dragon... woah.	Ještě jsem nemyl dračího učitele... Páni.
line:a99b03ed	Never tried it.	Nikdy jsem je nezkusil.
line:6df809e1	Nevermind. Could you get the gate?	To nic. Otevřel bys mi bránu?
line:d3a50f3f	Next time I come in for a wash we'll go.	Až příště přijdu na mytí, vyrazíme.
line:ac5afd96	Next time I come in I'll have reservations!	Až příště přijdu, budu mít rezervaci!
line:8990fcc9	Nice! Whats with all the... Gloop?	Bezva! Co je to za... břečku?
line:1d4b8528	Nice. Gotta open the gate though. Let Conrad in!	Fajn. Ale musíš otevřít bránu. Pusť Conrada dovnitř!
line:acab92d4	Nnf... I believe I needed that. Thank you.	Nnf... Myslím, že jsem to potřeboval. Děkuji vám.
line:8fe11008	Nnnf... That was way better than those berries.	Nnnf... To bylo mnohem lepší než ty bobule.
line:b251704a	No	Ne
line:e05c2dca	No	Ne
line:dc86c2de	no	ne
line:5794ea87	No amount of justification makes it feel good though.	Ale i když pro to mám důvody, bolet to nepřestává.
line:5a5ec440	No I actually just got it	Ne, vlastně jsem to právě pořídil.
line:cd5f07ca	No more excuses.	Žádné další výmluvy.
line:4b38230f	No need for thanks. I'll get the gate.	Není zač. Otevřu ti bránu.
line:11604fbd	No need to be nervous, Alexander!	Nemusíte být nervózní, Alexandere!
line:eefef647	No need to be.	Nemusíte se stydět.
line:73ea230a	No no, you're a certified cleaner yeah?	Ne, ne. Jsi vyučenej myč, že jo?
line:743c64e6	No not really.	Ne, vlastně není.
line:50feefe8	No problem!	Není zač!
line:1a9a36e1	No problem! Can't wait for you to meet Conrad.	Není zač! Nemůžu se dočkat, až poznáš Conrada.
line:0a9993d2	No problem, thanks!	To nic, díky!
line:10bdb3a4	No problem, thanks!	To nic, díky!
line:3a8f65fa	No problem.	Žádný problém.
line:ee3d0ee4	No problem. Let me get that gate for ya'!	Žádný problém. Otevřu vám bránu!
line:eedccaec	No way.	To snad ne.
line:f0351f0c	No way.	To snad ne.
line:d726f776	No worries,	To nic.
line:12b7a5b3	No! I mean, yes, but for the sake of my reputation could you please keep my incursion here to yourself.	Ne! Tedy ano, ale kvůli mé pověsti si prosím nechte mou zdejší návštěvu pro sebe.
line:f7f963e3	No, I am.	Ne, jsem.
line:54faa7c0	No, I don't think I do.	Ne, myslím, že ne.
line:38419d8b	No, it's not. No more excuses.	Ne, není to v pořádku. Žádné další výmluvy.
line:cd9b2a8f	No, thank you. I'm... Really excited.	Ne, já děkuju tobě. Moc... se těším.
line:1af1ad05	No, we don't offer things like that here.	Ne, takové služby tady nenabízíme.
line:cb7e94e5	no.	Ne.
line:6128a09c	No. A lime that is yellow.	Ne. Jako limetka, která je žlutá.
line:de25dacd	No. I'm not. Do you have a medkit or not?	Ne, nejsem. Máš lékárničku, nebo ne?
line:1cc64bcf	No.. No it's fine... thank you.	Ne... Ne, to je dobrý... Děkuju.
line:525f5744	Nope	Ne.
line:fbd2c3e7	Nope.	Ne.
line:5406ba8e	Normally I'd say yes to a mount. But, not right now.	Normálně bych kozlík bral. Ale teď ne.
line:ab92da6a	Not anymore at least!	Alespoň teď už ne!
line:0cfcd179	Not for a date though.	Ale na rande to není.
line:d1b90e2c	Not sure yet.	Ještě nevím.
line:e9643b5d	Not yet.	Ještě ne.
line:326cc84d	Not yet. a little longer.	Ještě ne. Ještě chviličku.
line:56a729f6	Nothing more attractive than a man who can improve!	Nic není přitažlivější než muž, který na sobě dokáže pracovat!
line:b5dabf9f	Nothing more attractive than a man who can improve!	Nic není přitažlivější než muž, který na sobě dokáže pracovat!
line:8a321997	Now I'm eyeballing the mount...	Teď pokukuju po tom kozlíku...
line:5e0a6d7a	Now I'm out here, agh!	A teď jsem kvůli tomu tady, ach!
line:564a9606	Now they'll never need to know!	Teď už se to nemusí nikdy dozvědět!
line:d66b7986	Now!	A teď!
line:63596bb3	Now, do you have a medkit or not?	Tak máš tu lékárničku, nebo ne?
line:eefc4e9f	Now, lemme in! I want to try that thing out!	Tak mě pusť dovnitř! Chci ho vyzkoušet!
line:0554966a	Now, more food?	Tak co, dáme si ještě něco?
line:3fb3f8d4	Now, round two!	Teď druhý kolo!
line:12e6043e	Now... Food?	Tak... Jídlo?
line:5f8b2de4	oah. <size=70%>okay.	Aha. <size=70%>Dobře.
line:13223129	Of course	Samozřejmě.
line:283e56d8	Of course I am! I know I'm very...	Jasně že jo! Vím, že jsem fakt...
line:5788e15c	Of course I do. I'm a <i>professional</i>.	Samozřejmě. Jsem <i>profesionál</i>.
line:0b226939	Of course it is!	Samozřejmě že ne!
line:f21dd9d4	Of course it is!	Samozřejmě že ne!
line:642255fc	Of course!	Samozřejmě!
line:76f8c20c	Of course!	Samozřejmě!
line:877aced7	Of course!	Samozřejmě!
line:d2401e75	Of course!	Samozřejmě!
line:f9eb2b4a	Of course! Right this way!	Samozřejmě! Tudy!
line:0d20d327	Of course! Thank you for the food.	Samozřejmě! Díky za jídlo.
line:4da976f5	Of course! You run a fine establishment.	Samozřejmě! Vedete znamenitý podnik.
line:b629bcf2	Of course! You're wonderful.	Samozřejmě! Jste báječný.
line:b6c96475	Of course, you run a fine establishment.	Samozřejmě, vedete znamenitý podnik.
line:dd082478	Of course.	Samozřejmě.
line:203cc3d2	Of course. One moment!	Jistě. Moment!
line:fd145efe	Of course. Sorry you're going through all this.	Samozřejmě. Mrzí mě, že tím vším procházíš.
line:7305cdbc	Oh cool!	Jé, super!
line:eb6ae4c3	Oh cool!	Jé, super!
line:77c996e8	Oh damn! You really are adventurous!	No sakra! Ty se toho vážně nebojíš!
line:3fdb9d01	Oh fcuk something went wrong	Do prdele, něco se pokazilo.
line:9e403ecd	Oh fuck yeah.	Jo, kurva, jo.
line:13c39c50	Oh fudge, forget I said that!	Kruci, zapomeňte, že jsem to řekl!
line:e722753e	Oh goodness no..	Proboha, ne...
line:55e3dd36	Oh hi! um..	Jé, ahoj! Ehm...
line:e8ee5747	Oh hi! um..	Jé, ahoj! Ehm...
line:b90f527f	Oh huh, that's the tiny drake I saw coming in a bit back yeah?	Aha, to je ten maličký drak, co sem nedávno šel, že?
line:001ab950	Oh I heard good things about that.	O tom jsem slyšel dobré věci.
line:0a4a28c0	Oh I see the button there, gotcha!	Ach, už vidím to tlačítko. Jasně!
line:c6b0b1aa	Oh like, swallowing things whole?	Ach, myslíš polykat věci celé?
line:10254d13	Oh my	Propána.
line:39f6c77d	Oh my bad	Aha, moje chyba.
line:79511a66	Oh my bad	Aha, moje chyba.
line:8cfbd75d	Oh my bad	Aha, moje chyba.
line:cb71b2a1	Oh my bad	Aha, moje chyba.
line:7d13eca0	Oh my- I didn't expect you to be so... hands on	Ach, propána... Nečekal jsem, že budete tak... hmatatelně důkladný.
